,name,games,receptions,yards,yds_per_ctch,yds_per_game,yac,td,long_ctch,recs_ovr_25,100yd_gms,targets,drops,ctch_pct,fumbles,fumbles_lost,first_down_ctchs,first_down_ctchpct,season,team
763,Karl Williams,13,2,35,17.5,2.7,9,0,27,1,0,3,0,66.7%,0,0,1,50.0%,2000,TB
764,Mikhael Ricks,4,3,35,11.7,8.8,8,0,23,0,0,9,1,33.3%,0,0,2,66.7%,2000,
765,David Dunn,15,4,33,8.3,2.2,25,0,14,0,0,8,2,50.0%,0,0,3,75.0%,2000,OAK
766,Brian Milne,16,5,33,6.6,2.1,34,1,15,0,0,5,0,100.0%,0,0,1,20.0%,2000,NO
767,Jon Witman,6,5,33,6.6,5.5,13,0,11,0,0,7,1,71.4%,0,0,2,40.0%,2000,PIT
768,Lamont Hall,16,5,33,6.6,2.1,19,1,13,0,0,7,0,71.4%,0,0,4,80.0%,2000,NO
769,Alfred Pupunu,9,3,32,10.7,3.6,14,0,17,0,0,3,0,100.0%,0,0,1,33.3%,2000,DET
770,Tony Horne,11,4,32,8.0,2.9,1,2,18,0,0,7,0,57.1%,0,0,2,50.0%,2000,STL
771,Steve Heiden,15,6,32,5.3,2.1,11,1,10,0,0,12,0,50.0%,0,0,2,33.3%,2000,SD
772,Lorenzo Neal,16,9,31,3.4,1.9,28,2,8,0,0,13,2,69.2%,0,0,3,33.3%,2000,TEN
773,Moe Williams,16,4,31,7.8,1.9,15,0,12,0,0,7,0,57.1%,0,0,1,25.0%,2000,MIN
774,Howard Cross,16,4,30,7.5,1.9,16,0,18,0,0,7,0,57.1%,0,0,2,50.0%,2000,NYG
775,Sam Gash,15,6,30,5.0,2.0,14,1,9,0,0,11,2,54.5%,0,0,1,16.7%,2000,BAL
776,Reggie Barlow,16,1,28,28.0,1.8,22,0,28,1,0,4,0,25.0%,0,0,1,100.0%,2000,JAX
777,Scott Dragos,9,4,28,7.0,3.1,14,0,10,0,0,6,0,66.7%,0,0,1,25.0%,2000,CHI
778,Jason Dunn,14,2,26,13.0,1.9,23,0,20,0,0,2,0,100.0%,0,0,1,50.0%,2000,KC
779,Chris Howard,2,3,26,8.7,13.0,26,0,13,0,0,5,0,60.0%,0,0,2,66.7%,2000,JAX
780,Nate Jacquet,12,1,25,25.0,2.1,6,0,25,1,0,3,0,33.3%,0,0,0,0.0%,2000,
781,Damon Griffin,8,2,25,12.5,3.1,0,0,16,0,0,9,0,22.2%,0,0,1,50.0%,2000,CIN
782,Jeff Ogden,16,2,24,12.0,1.5,3,0,12,0,0,3,0,66.7%,0,0,2,100.0%,2000,MIA
783,Will Blackwell,5,2,23,11.5,4.6,3,0,14,0,0,3,0,66.7%,0,0,1,50.0%,2000,PIT
784,Fred Baxter,9,4,22,5.5,2.4,10,2,12,0,0,9,0,44.4%,0,0,2,50.0%,2000,NYJ
785,Tarek Saleh,16,1,22,22.0,1.4,20,0,22,0,0,3,0,33.3%,0,0,1,100.0%,2000,CLE
786,Chris Floyd,13,1,21,21.0,1.6,14,0,21,0,0,2,0,50.0%,0,0,1,100.0%,2000,
787,Amp Lee,3,1,20,20.0,6.7,18,0,20,0,0,3,0,33.3%,0,0,1,100.0%,2000,PHI
788,Ryan Wetnight,10,3,20,6.7,2.0,10,0,9,0,0,9,0,33.3%,0,0,0,0.0%,2000,GB
789,Raymont Harris,4,4,20,5.0,5.0,30,0,16,0,0,4,0,100.0%,0,0,1,25.0%,2000,
790,Antowain Smith,11,3,20,6.7,1.8,12,0,9,0,0,5,1,60.0%,0,0,1,33.3%,2000,BUF
791,Terry Kirby,2,3,19,6.3,9.5,16,0,9,0,0,4,0,75.0%,0,0,1,33.3%,2000,OAK
792,Joel Makovicka,14,6,18,3.0,1.3,9,0,5,0,0,9,0,66.7%,0,0,3,50.0%,2000,ARZ
793,Donnell Bennett,7,2,17,8.5,2.4,17,0,13,0,0,2,0,100.0%,0,0,1,50.0%,2000,KC
794,Matt Cushing,7,4,17,4.3,2.4,1,0,5,0,0,5,0,80.0%,0,0,0,0.0%,2000,PIT
795,Patrick Pass,5,4,17,4.3,3.4,28,0,15,0,0,8,1,50.0%,0,0,0,0.0%,2000,NE
796,Kyle Turley,16,1,16,16.0,1.0,12,0,16,0,0,1,0,100.0%,0,0,0,0.0%,2000,NO
797,Michael Cloud,16,2,16,8.0,1.0,25,0,13,0,0,2,0,100.0%,0,0,1,50.0%,2000,KC
798,Aaron Stecker,10,1,15,15.0,1.5,7,0,15,0,0,1,0,100.0%,0,0,0,0.0%,2000,TB
799,Desmond Howard,15,2,14,7.0,0.9,16,0,10,0,0,3,0,66.7%,0,0,0,0.0%,2000,DET
800,Rabih Abdullah,12,2,14,7.0,1.2,12,0,11,0,0,2,0,100.0%,0,0,1,50.0%,2000,TB
801,Bobby Brown,6,2,14,7.0,2.3,1,0,8,0,0,7,0,28.6%,0,0,1,50.0%,2000,CLE
802,Deon Dyer,16,2,14,7.0,0.9,12,0,13,0,0,2,0,100.0%,0,0,1,50.0%,2000,MIA
803,Mike Wells,16,1,13,13.0,0.8,4,0,13,0,0,1,0,100.0%,0,0,1,100.0%,2000,CHI
804,Kenny Bynum,14,2,13,6.5,0.9,13,0,7,0,0,2,0,100.0%,0,0,0,0.0%,2000,SD
805,Dennis McKinley,16,2,13,6.5,0.8,13,0,9,0,0,4,0,50.0%,0,0,0,0.0%,2000,ARZ
806,Jim Finn,16,4,13,3.3,0.8,10,1,6,0,0,6,0,66.7%,0,0,1,25.0%,2000,IND
807,Michael Roan,1,3,12,4.0,12.0,4,0,6,0,0,3,0,100.0%,0,0,0,0.0%,2000,TEN
808,Damon Jones,1,1,12,12.0,12.0,10,0,12,0,0,1,0,100.0%,0,0,1,100.0%,2000,JAX
809,Chris Brazzell,9,2,12,6.0,1.3,0,0,10,0,0,4,1,50.0%,0,0,0,0.0%,2000,DAL
810,Shockmain Davis,12,2,12,6.0,1.0,0,0,9,0,0,11,0,18.2%,0,0,1,50.0%,2000,NE
811,Harold Shaw,16,2,11,5.5,0.7,8,0,8,0,0,4,0,50.0%,0,0,0,0.0%,2000,NE
812,Ron Dayne,16,3,11,3.7,0.7,11,0,12,0,0,3,0,100.0%,0,0,1,33.3%,2000,NYG
813,Jammi German,9,1,10,10.0,1.1,5,0,10,0,0,4,0,25.0%,0,0,0,0.0%,2000,ATL
814,Olandis Gary,1,3,10,3.3,10.0,22,0,7,0,0,4,0,75.0%,0,0,0,0.0%,2000,DEN
815,Scottie Montgomery,4,1,10,10.0,2.5,5,0,10,0,0,1,0,100.0%,0,0,1,100.0%,2000,DEN
816,Reggie Brown,12,2,9,4.5,0.8,12,0,6,0,0,4,1,50.0%,0,0,1,50.0%,2000,SEA
817,Bubba Miller,16,1,9,9.0,0.6,10,0,9,0,0,1,0,100.0%,0,0,1,100.0%,2000,PHI
818,Dameane Douglas,6,1,9,9.0,1.5,6,0,9,0,0,4,0,25.0%,0,0,0,0.0%,2000,PHI
819,Glyn Milburn,16,1,8,8.0,0.5,6,0,8,0,0,3,0,33.3%,0,0,0,0.0%,2000,CHI
820,Alex Dyke,4,1,8,8.0,2.0,1,0,8,0,0,6,0,16.7%,0,0,1,100.0%,2000,PHI
821,Jonathan Linton,15,3,8,2.7,0.5,2,1,4,0,0,4,1,75.0%,0,0,1,33.3%,2000,BUF
822,Charles Woodson,16,1,8,8.0,0.5,2,0,8,0,0,2,0,50.0%,0,0,1,100.0%,2000,OAK
823,Justin Swift,16,1,8,8.0,0.5,8,0,8,0,0,3,0,33.3%,0,0,0,0.0%,2000,SF
824,Reginald Davis,10,1,8,8.0,0.8,6,0,8,0,0,1,0,100.0%,0,0,0,0.0%,2000,SD
825,Zeron Flemister,5,1,8,8.0,1.6,4,0,8,0,0,2,0,50.0%,0,0,0,0.0%,2000,WSH
826,Brian Kinchen,16,1,7,7.0,0.4,3,0,7,0,0,1,0,100.0%,0,0,0,0.0%,2000,CAR
827,Terry Allen,4,1,7,7.0,1.8,5,0,7,0,0,1,0,100.0%,0,0,0,0.0%,2000,NO
828,Billy Miller,12,1,7,7.0,0.6,0,0,7,0,0,4,2,25.0%,0,0,0,0.0%,2000,DEN
829,Marlon Barnes,13,1,7,7.0,0.5,4,0,7,0,0,3,0,33.3%,0,0,0,0.0%,2000,CHI
830,Robert Chancey,4,1,6,6.0,1.5,4,0,6,0,0,2,0,50.0%,0,0,0,0.0%,2000,SD
831,Damon Dunn,4,1,6,6.0,1.5,0,0,6,0,0,1,0,100.0%,0,0,1,100.0%,2000,
832,Jerry Porter,12,1,6,6.0,0.5,0,0,6,0,0,2,1,50.0%,0,0,0,0.0%,2000,OAK
833,James Hodgins,15,2,5,2.5,0.3,3,0,3,0,0,2,0,100.0%,0,0,0,0.0%,2000,STL
834,Donovan McNabb,16,2,5,2.5,0.3,7,0,3,0,0,4,1,50.0%,0,0,0,0.0%,2000,PHI
835,Lenzie Jackson,5,1,5,5.0,1.0,0,0,5,0,0,3,0,33.3%,0,0,0,0.0%,2000,CLE
836,Maurice Smith,10,1,5,5.0,0.5,4,0,5,0,0,1,0,100.0%,0,0,0,0.0%,2000,ATL
837,KaRon Coleman,9,1,5,5.0,0.6,10,0,5,0,0,3,1,33.3%,0,0,0,0.0%,2000,DEN
838,Troy Walters,12,1,5,5.0,0.4,2,0,5,0,0,1,0,100.0%,0,0,0,0.0%,2000,MIN
839,Clarence Williams,2,1,5,5.0,2.5,2,0,5,0,0,2,1,50.0%,0,0,0,0.0%,2000,ARZ
840,Terrell Davis,5,2,4,2.0,0.8,2,0,5,0,0,2,0,100.0%,0,0,0,0.0%,2000,DEN
841,Dustin Lyman,14,1,4,4.0,0.3,2,0,4,0,0,3,0,33.3%,0,0,0,0.0%,2000,CHI
842,Trung Canidate,3,1,4,4.0,1.3,6,0,4,0,0,3,0,33.3%,0,0,0,0.0%,2000,STL
843,Jay Tant,5,1,4,4.0,0.8,1,0,4,0,0,2,0,50.0%,0,0,1,100.0%,2000,ARZ
844,Dameyune Craig,4,2,4,2.0,1.0,11,0,4,0,0,3,1,66.7%,0,0,0,0.0%,2000,CAR
845,Jumbo Elliott,12,1,3,3.0,0.3,0,1,3,0,0,1,0,100.0%,0,0,1,100.0%,2000,NYJ
846,Randall McDaniel,16,1,2,2.0,0.1,0,1,2,0,0,2,1,50.0%,0,0,1,100.0%,2000,TB
847,Harold Morrow,16,1,2,2.0,0.1,0,0,2,0,0,1,0,100.0%,0,0,0,0.0%,2000,MIN
848,Detron Smith,16,1,1,1.0,0.1,0,1,1,0,0,3,1,33.3%,0,0,1,100.0%,2000,DEN
849,Ronney Jenkins,16,1,1,1.0,0.1,0,0,1,0,0,2,0,50.0%,0,0,0,0.0%,2000,SD
850,Todd Yoder,9,1,1,1.0,0.1,0,0,1,0,0,3,0,33.3%,0,0,0,0.0%,2000,TB
851,Deion Sanders,16,0,0,-,0.0,0,0,0,0,0,2,0,0.0%,0,0,0,-,2000,WSH
852,Dwight Stone,12,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-,2000,NYJ
853,Bruce Matthews,16,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-,2000,TEN
854,Jeff Blake,11,0,0,-,0.0,0,0,0,0,0,0,0,-,1,0,0,-,2000,NO
855,James Jenkins,13,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-,2000,WSH
856,Wally Williams,16,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-,2000,NO
857,Rich Griffith,16,0,0,-,0.0,0,0,0,0,0,3,0,0.0%,0,0,0,-,2000,JAX
858,Dean Wells,16,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-,2000,CAR
859,Ron Rivers,6,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-,2000,ATL
860,Greg DeLong,4,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-,2000,JAX
861,Chris Thomas,16,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-,2000,STL
862,Marcus Spears,13,0,0,-,0.0,0,0,0,0,0,2,1,0.0%,0,0,0,-,2000,KC
863,Ron Rice,14,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-,2000,DET
864,La Glover,16,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-,2000,NO
865,Chris Villarrial,16,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-,2000,CHI
866,Tim Terry,6,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-,2000,SEA
867,Ed Perry,10,0,0,-,0.0,0,0,0,0,0,2,0,0.0%,0,0,0,-,2000,MIA
868,Jake Plummer,14,0,0,-,0.0,0,0,0,0,0,0,0,-,0,0,0,-,2000,ARZ
869,Corey Bradford,2,0,0,-,0.0,0,0,0,0,0,3,0,0.0%,0,0,0,-,2000,GB
870,Basil Mitchell,1,0,0,-,0.0,0,0,0,0,0,2,0,0.0%,0,0,0,-,2000,GB
871,Isaac Jones,1,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-,2000,IND
872,Daryl Terrell,16,0,0,-,0.0,0,0,0,0,0,1,1,0.0%,0,0,0,-,2000,NO
873,Malcolm Johnson,5,0,0,-,0.0,0,0,0,0,0,8,1,0.0%,0,0,0,-,2000,
874,Jerame Tuman,16,0,0,-,0.0,0,0,0,0,0,2,0,0.0%,0,0,0,-,2000,PIT
875,Charlie Rogers,15,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-,2000,SEA
876,Jamar Nesbit,16,0,0,-,0.0,0,0,0,0,0,0,0,-,0,0,0,-,2000,CAR
877,Stacey Mack,6,0,0,-,0.0,0,0,0,0,0,0,0,-,0,0,0,-,2000,JAX
878,Herbert Goodman,5,1,0,0.0,0.0,5,0,0,0,0,1,0,100.0%,0,0,0,0.0%,2000,GB
879,Chris Jackson,1,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-,2000,TEN
880,Mike Leach,15,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-,2000,TEN
881,Bashir Yamini,6,0,0,-,0.0,0,0,0,0,0,1,1,0.0%,0,0,0,-,2000,TEN
882,Frank Moreau,11,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-,2000,KC
883,Chris Eitzmann,5,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-,2000,NE
884,Corey Simon,16,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-,2000,PHI
885,Trent Dilfer,11,1,-1,-1.0,-0.1,4,0,-1,0,0,1,0,100.0%,0,0,0,0.0%,2000,BAL
886,David Palmer,6,1,-2,-2.0,-0.3,1,0,-2,0,0,1,0,100.0%,0,0,0,0.0%,2000,MIN
887,Chris Chandler,14,1,-4,-4.0,-0.3,1,0,-4,0,0,1,0,100.0%,0,0,0,0.0%,2000,ATL
888,Rob Johnson,12,1,-6,-6.0,-0.5,0,0,-6,0,0,1,0,100.0%,0,0,0,0.0%,2000,BUF
889,David Boston,16,98,1598,16.3,99.9,445,8,61,15,9,175,8,56.0%,1,1,72,73.5%,2001,ARZ
890,Marvin Harrison,16,109,1524,14.0,95.3,479,15,68,15,6,164,7,66.5%,0,0,75,68.8%,2001,IND
891,Terrell Owens,16,93,1412,15.2,88.3,521,16,60,18,6,155,10,60.0%,0,0,70,75.3%,2001,SF
892,Jimmy Smith,16,112,1373,12.3,85.8,354,8,35,5,6,176,6,63.6%,1,0,68,60.7%,2001,JAX
893,Torry Holt,16,81,1363,16.8,85.2,334,7,51,12,3,133,5,60.9%,2,0,58,71.6%,2001,STL
894,Rod Smith,15,113,1343,11.9,89.5,639,11,65,9,5,172,9,65.7%,1,0,75,66.4%,2001,DEN
895,Keyshawn Johnson,15,106,1266,11.9,84.4,330,1,47,7,4,180,4,58.9%,2,1,67,63.2%,2001,TB
896,Joe Horn,16,83,1265,15.2,79.1,409,9,56,11,4,156,6,53.2%,1,1,59,71.1%,2001,NO
897,Randy Moss,16,82,1233,15.0,77.1,487,10,73,12,4,153,7,53.6%,0,0,59,72.0%,2001,MIN
898,Troy Brown,16,101,1199,11.9,74.9,505,5,60,7,3,142,3,71.1%,0,0,59,58.4%,2001,NE
899,Tim Brown,16,91,1165,12.8,72.8,379,9,46,9,4,140,6,65.0%,0,0,61,67.0%,2001,OAK
900,Johnnie Morton,16,77,1154,15.0,72.1,296,4,76,7,4,144,5,53.5%,1,1,58,75.3%,2001,DET
901,Jerry Rice,16,83,1139,13.7,71.2,298,9,40,10,2,125,5,66.4%,1,0,62,74.7%,2001,OAK
902,Derrick Mason,15,73,1128,15.5,75.2,351,9,71,14,4,113,4,64.6%,0,0,50,68.5%,2001,TEN
903,Curtis Conway,16,71,1125,15.9,70.3,195,6,72,9,4,126,5,56.3%,1,1,52,73.2%,2001,SD
904,Keenan McCardell,16,93,1110,11.9,69.4,265,6,45,6,2,145,7,64.1%,1,1,58,62.4%,2001,JAX
905,Isaac Bruce,16,64,1106,17.3,69.1,267,6,51,12,3,103,7,62.1%,3,1,49,76.6%,2001,STL
906,Kevin Johnson,16,84,1097,13.1,68.6,239,9,55,7,2,129,5,65.1%,2,0,54,64.3%,2001,CLE
907,Darrell Jackson,16,70,1081,15.4,67.6,309,8,64,11,5,131,8,53.4%,0,0,44,62.9%,2001,SEA
908,Marty Booker,16,100,1071,10.7,66.9,487,8,66,8,2,157,9,63.7%,2,1,56,56.0%,2001,CHI
909,Qadry Ismail,16,74,1059,14.3,66.2,323,7,77,7,1,134,6,55.2%,1,1,50,67.6%,2001,BAL
910,Amani Toomer,16,72,1054,14.6,65.9,270,5,60,10,2,141,10,51.1%,1,0,55,76.4%,2001,NYG
911,Willie Jackson,16,81,1046,12.9,65.4,335,5,63,9,3,135,8,60.0%,0,0,54,66.7%,2001,NO
912,Plaxico Burress,16,66,1008,15.3,63.0,171,6,43,12,4,120,12,55.0%,1,0,48,72.7%,2001,PIT
913,Hines Ward,16,94,1003,10.7,62.7,367,4,34,6,2,145,5,64.8%,1,1,52,55.3%,2001,PIT
914,Bill Schroeder,14,53,918,17.3,65.6,310,9,67,10,5,93,5,57.0%,1,0,42,79.2%,2001,GB
915,Tony Gonzalez,16,73,917,12.6,57.3,253,6,36,7,1,118,4,61.9%,0,0,49,67.1%,2001,KC
916,Eric Moulds,16,67,904,13.5,56.5,359,5,80,11,2,135,9,49.6%,1,1,43,64.2%,2001,BUF
917,Peerless Price,16,55,895,16.3,55.9,220,7,70,10,3,111,4,49.5%,1,0,37,67.3%,2001,BUF
918,Chris Chambers,16,48,883,18.4,55.2,231,7,74,14,3,90,6,53.3%,0,0,35,72.9%,2001,MIA
919,Cris Carter,16,73,871,11.9,54.4,247,6,52,6,1,130,3,56.2%,2,2,45,61.6%,2001,MIN
920,Laveranues Coles,16,59,868,14.7,54.3,294,7,40,9,1,103,3,57.3%,0,0,42,71.2%,2001,NYJ
921,Raghib Ismail,14,53,834,15.7,59.6,231,2,80,9,2,93,4,57.0%,0,0,30,56.6%,2001,DAL
922,James Thrash,15,63,833,13.2,55.5,231,8,64,9,2,108,3,58.3%,1,1,35,55.6%,2001,PHI
923,Kevin Dyson,16,54,825,15.3,51.6,167,7,68,7,2,112,7,48.2%,0,0,37,68.5%,2001,TEN
924,Darnay Scott,16,57,819,14.4,51.2,156,2,49,6,3,103,4,55.3%,0,0,40,70.2%,2001,CIN
925,Antonio Freeman,16,52,818,15.7,51.1,257,6,63,9,2,109,9,47.7%,0,0,40,76.9%,2001,GB
926,Jeff Graham,14,52,811,15.6,57.9,204,5,61,6,2,110,14,47.3%,1,1,41,78.8%,2001,SD
927,Shannon Sharpe,16,73,811,11.1,50.7,309,2,37,6,0,114,4,64.0%,1,1,43,58.9%,2001,BAL
928,Marshall Faulk,14,83,765,9.2,54.6,612,9,65,3,1,104,8,79.8%,1,1,40,48.2%,2001,STL
929,Wayne Chrebet,15,56,750,13.4,50.0,227,1,36,5,1,92,2,60.9%,0,0,44,78.6%,2001,NYJ
930,David Patten,16,51,749,14.7,46.8,190,4,91,9,1,93,2,54.8%,1,0,34,66.7%,2001,NE
931,Rod Gardner,16,46,741,16.1,46.3,263,4,85,7,1,101,8,45.5%,1,1,28,60.9%,2001,WSH
932,Marcus Pollard,16,47,739,15.7,46.2,306,8,86,10,2,73,9,64.4%,0,0,34,72.3%,2001,IND
933,Joe Jurevicius,14,51,706,13.8,50.4,204,3,46,9,0,92,5,55.4%,0,0,36,70.6%,2001,NYG
934,Joey Galloway,16,52,699,13.4,43.7,142,3,47,6,1,112,2,46.4%,1,0,33,63.5%,2001,DAL
935,James McKnight,16,55,684,12.4,42.8,259,3,40,6,0,90,8,61.1%,3,3,31,56.4%,2001,MIA
936,Oronde Gadsden,14,55,674,12.3,48.1,175,3,61,5,2,93,1,59.1%,1,1,34,61.8%,2001,MIA
937,Frank Wycheck,16,60,672,11.2,42.0,280,4,30,6,1,84,4,71.4%,0,0,36,60.0%,2001,TEN
938,Peter Warrick,16,70,667,9.5,41.7,172,1,33,3,1,137,7,51.1%,1,1,34,48.6%,2001,CIN
939,Byron Chamberlain,16,57,666,11.7,41.6,250,3,47,6,0,79,1,72.2%,1,1,28,49.1%,2001,MIN
940,Michael Westbrook,16,57,664,11.7,41.5,194,4,76,4,1,92,7,62.0%,0,0,32,56.1%,2001,WSH
941,Ike Hilliard,14,52,659,12.7,47.1,188,6,38,9,2,88,6,59.1%,0,0,36,69.2%,2001,NYG
942,Duce Staley,13,63,626,9.9,48.2,599,2,46,5,1,91,7,69.2%,1,0,19,30.2%,2001,PHI
943,Larry Centers,16,80,620,7.8,38.8,561,2,26,1,0,105,4,76.2%,2,1,33,41.3%,2001,BUF
944,Frank Sanders,15,41,618,15.1,41.2,270,2,68,4,1,76,6,53.9%,1,1,32,78.0%,2001,ARZ
945,Priest Holmes,16,62,614,9.9,38.4,752,2,67,4,2,75,6,82.7%,2,2,21,33.9%,2001,KC
946,Donald Hayes,16,52,597,11.5,37.3,201,2,48,3,0,105,6,49.5%,1,0,33,63.5%,2001,CAR
947,Ahman Green,16,62,594,9.6,37.1,579,2,42,4,0,81,3,76.5%,0,0,24,38.7%,2001,GB
948,Jay Riemersma,16,53,590,11.1,36.9,194,3,36,4,0,78,8,67.9%,0,0,33,62.3%,2001,BUF
949,Todd Pinkston,15,42,586,14.0,39.1,190,4,62,5,0,84,7,50.0%,0,0,23,54.8%,2001,PHI
950,"Stokes, J",16,54,585,10.8,36.6,166,7,47,3,0,90,2,60.0%,0,0,33,61.1%,2001,SF
951,Muhsin Muhammad,11,50,585,11.7,53.2,211,1,43,4,2,93,7,53.8%,2,1,26,52.0%,2001,CAR
952,Charlie Garner,16,72,578,8.0,36.1,470,2,27,2,0,91,8,79.1%,0,0,28,38.9%,2001,OAK
953,Tiki Barber,14,72,577,8.0,41.2,530,0,44,3,0,98,8,73.5%,2,0,30,41.7%,2001,NYG
954,Desmond Clark,16,51,566,11.1,35.4,229,6,39,3,0,77,6,66.2%,3,2,31,60.8%,2001,DEN
955,Terance Mathis,16,51,564,11.1,35.3,158,2,34,1,0,105,6,48.6%,0,0,34,66.7%,2001,ATL
956,Ricky Proehl,16,40,563,14.1,35.2,189,5,37,4,1,55,2,72.7%,0,0,31,77.5%,2001,STL
957,Travis Taylor,16,42,560,13.3,35.0,111,3,63,4,0,90,3,46.7%,0,0,27,64.3%,2001,BAL
958,Warrick Dunn,13,68,557,8.2,42.8,527,3,31,3,1,97,4,70.1%,0,0,29,42.6%,2001,TB
959,Tony Martin,11,37,548,14.8,49.8,97,3,63,2,0,77,4,48.1%,0,0,29,78.4%,2001,ATL
960,Shawn Jefferson,16,37,539,14.6,33.7,98,2,48,3,0,65,2,56.9%,0,0,27,73.0%,2001,ATL
961,Koren Robinson,16,39,536,13.7,33.5,155,1,42,2,0,78,8,50.0%,2,0,25,64.1%,2001,SEA
962,Corey Bradford,16,31,526,17.0,32.9,143,2,56,5,2,58,3,53.4%,1,0,24,77.4%,2001,GB
963,Martay Jenkins,13,32,518,16.2,39.8,110,3,53,5,1,54,2,59.3%,0,0,25,78.1%,2001,ARZ
964,Ricky Williams,16,60,511,8.5,31.9,555,1,42,3,0,89,10,67.4%,2,2,19,31.7%,2001,NO
965,Marvin Minnis,13,33,511,15.5,39.3,86,1,56,4,0,67,9,49.3%,0,0,24,72.7%,2001,KC
966,Isaac Byrd,15,37,492,13.3,32.8,160,1,42,7,0,71,5,52.1%,0,0,26,70.3%,2001,CAR
967,Eddie Kennison,13,31,491,15.8,37.8,132,1,65,6,1,50,5,62.0%,1,0,17,54.8%,2001,
968,Brian Finneran,16,23,491,21.4,30.7,172,3,52,6,0,41,1,56.1%,0,0,18,78.3%,2001,ATL
969,Derrick Alexander,13,27,470,17.4,36.2,113,3,46,6,0,68,3,39.7%,0,0,22,81.5%,2001,KC
970,Cory Schlesinger,16,60,466,7.8,29.1,361,0,38,2,0,85,6,70.6%,1,1,15,25.0%,2001,DET
971,Wesley Walls,14,43,452,10.5,32.3,99,5,25,2,0,73,4,58.9%,0,0,20,46.5%,2001,CAR
972,Quincy Morgan,16,30,432,14.4,27.0,163,2,78,5,0,72,6,41.7%,1,0,16,53.3%,2001,CLE
973,Ernie Conwell,16,38,431,11.3,26.9,300,4,47,5,0,52,2,73.1%,2,2,20,52.6%,2001,STL
974,Dez White,14,45,428,9.5,30.6,192,0,32,2,0,82,5,54.9%,0,0,23,51.1%,2001,CHI
975,Chad Lewis,15,41,422,10.3,28.1,125,6,33,4,0,68,3,60.3%,1,1,20,48.8%,2001,PHI
976,Jamel White,16,44,418,9.5,26.1,304,1,45,4,0,60,2,73.3%,0,0,18,40.9%,2001,CLE
977,David Terrell,16,34,415,12.2,25.9,133,4,62,5,0,63,4,54.0%,0,0,20,58.8%,2001,CHI
978,David Sloan,15,37,409,11.1,27.3,118,7,27,4,0,69,8,53.6%,0,0,24,64.9%,2001,DET
979,Bobby Shaw,16,24,409,17.0,25.6,160,2,90,3,1,44,3,54.5%,0,0,19,79.2%,2001,PIT
980,Tim Dwight,10,25,406,16.2,40.6,164,0,78,4,0,50,3,50.0%,0,0,22,88.0%,2001,SD
981,Jacquez Green,12,36,402,11.2,33.5,66,1,35,2,0,59,2,61.0%,0,0,25,69.4%,2001,TB
982,Bobby Engram,16,29,400,13.8,25.0,128,0,31,5,0,51,2,56.9%,0,0,24,82.8%,2001,SEA
983,Bob Christian,16,45,392,8.7,24.5,338,2,42,1,0,60,4,75.0%,0,0,19,42.2%,2001,ATL
984,Freddie Jones,14,35,388,11.1,27.7,139,4,34,3,0,60,2,58.3%,0,0,23,65.7%,2001,SD
985,Kyle Brady,16,36,386,10.7,24.1,125,2,20,0,0,63,5,57.1%,0,0,20,55.6%,2001,JAX
986,Az Hakim,16,39,374,9.6,23.4,179,3,33,2,0,53,2,73.6%,2,1,21,53.8%,2001,STL
987,LaDainian Tomlinson,16,59,367,6.2,22.9,461,0,27,1,0,74,4,79.7%,3,1,12,20.3%,2001,SD
988,Eric Johnson,16,40,362,9.1,22.6,143,3,24,0,0,64,6,62.5%,1,1,22,55.0%,2001,SF
989,Garrison Hearst,16,41,347,8.5,21.7,324,1,60,2,1,55,7,74.5%,1,1,15,36.6%,2001,SF
990,Tai Streets,16,28,345,12.3,21.6,153,1,52,3,0,52,3,53.8%,0,0,20,71.4%,2001,SF
991,Reggie Wayne,13,27,345,12.8,26.5,128,0,43,1,0,49,4,55.1%,0,0,19,70.4%,2001,IND
992,Brandon Stokley,16,24,344,14.3,21.5,115,2,46,2,0,46,0,52.2%,0,0,16,66.7%,2001,BAL
