,name,games,receptions,yards,yds_per_ctch,yds_per_game,yac,td,long_ctch,recs_ovr_25,100yd_gms,targets,drops,ctch_pct,fumbles,fumbles_lost,first_down_ctchs,first_down_ctchpct,season,team
229,Bernie Parmalee,16,15,113,7.5,7.1,133,0,23,0,0,19,0,78.9%,0,0,4,26.7%,1999,NYJ
230,Kordell Stewart,16,9,113,12.6,7.1,28,1,28,1,0,16,2,56.3%,0,0,6,66.7%,1999,PIT
231,Damon Griffin,13,12,112,9.3,8.6,22,0,20,0,0,20,2,60.0%,0,0,7,58.3%,1999,CIN
232,Stephen Davis,14,23,111,4.8,7.9,129,0,21,0,0,28,2,82.1%,1,0,4,17.4%,1999,WSH
233,Jerome Bettis,16,21,110,5.2,6.9,162,0,17,0,0,28,1,75.0%,0,0,2,9.5%,1999,PIT
234,Bryan Still,7,10,110,11.0,15.7,26,0,28,1,0,25,2,40.0%,0,0,7,70.0%,1999,
235,Tony Carter,16,20,108,5.4,6.8,101,0,20,0,0,31,3,64.5%,0,0,4,20.0%,1999,NE
236,James Stewart,14,21,108,5.1,7.7,121,0,19,0,0,28,1,75.0%,0,0,4,19.0%,1999,JAX
237,Jeremy Brigham,16,8,108,13.5,6.8,63,0,29,1,0,16,0,50.0%,0,0,4,50.0%,1999,OAK
238,Jon Witman,16,12,106,8.8,6.6,66,0,38,1,0,22,1,54.5%,0,0,2,16.7%,1999,PIT
239,Mike Sellers,16,7,105,15.0,6.6,67,2,33,2,0,11,0,63.6%,1,0,4,57.1%,1999,WSH
240,Priest Holmes,9,13,104,8.0,11.6,100,1,34,1,0,17,2,76.5%,0,0,6,46.2%,1999,BAL
241,Anthony Johnson,16,13,103,7.9,6.4,102,0,22,0,0,18,2,72.2%,0,0,4,30.8%,1999,CAR
242,Aaron Pierce,10,11,102,9.3,10.2,25,0,26,1,0,22,3,50.0%,1,1,4,36.4%,1999,BAL
243,John Allred,16,13,102,7.9,6.4,50,1,26,1,0,17,1,76.5%,0,0,5,38.5%,1999,CHI
244,"Johnson, J",13,15,100,6.7,7.7,104,0,17,0,0,24,1,62.5%,0,0,2,13.3%,1999,MIA
245,Lonnie Johnson,14,10,98,9.8,7.0,42,1,19,0,0,21,3,47.6%,0,0,8,80.0%,1999,KC
246,Andre Cooper,10,9,98,10.9,9.8,13,0,21,0,0,17,0,52.9%,0,0,3,33.3%,1999,DEN
247,Kevin Faulk,11,12,98,8.2,8.9,98,1,19,0,0,20,1,60.0%,0,0,3,25.0%,1999,NE
248,Nick Luchey,11,10,96,9.6,8.7,84,0,19,0,0,12,1,83.3%,0,0,5,50.0%,1999,CIN
249,Darnell McDonald,9,9,96,10.7,10.7,28,1,23,0,0,15,2,60.0%,0,0,4,44.4%,1999,TB
250,Michael Roan,11,9,93,10.3,8.5,24,3,24,0,0,20,1,45.0%,0,0,6,66.7%,1999,TEN
251,Byron Hanspard,12,10,93,9.3,7.8,96,0,34,1,0,18,1,55.6%,0,0,4,40.0%,1999,ATL
252,James Allen,12,9,91,10.1,7.6,76,0,17,0,0,11,0,81.8%,0,0,4,44.4%,1999,CHI
253,Jed Weaver,16,11,91,8.3,5.7,42,0,14,0,0,28,3,39.3%,0,0,4,36.4%,1999,PHI
254,Charlie Jones,8,10,90,9.0,11.3,23,1,44,1,0,19,0,52.6%,0,0,3,30.0%,1999,SD
255,Derrick Mason,13,8,89,11.1,6.8,22,0,31,1,0,19,1,42.1%,0,0,5,62.5%,1999,TEN
