index,name,games,receptions,yards,yds_per_ctch,yds_per_game,yac,td,long_ctch,recs_ovr_25,100yd_gms,targets,drops,ctch_pct,fumbles,fumbles_lost,first_down_ctchs,first_down_ctchpct,season,team
1665.0,"Darnell Sanders",10,3,23,7.7,2.3,8,1,14,0,0,5,1,60.0%,0,0,2,66.7%,2002.0,CLE
1667.0,"Mike Lucky",16,1,22,22.0,1.4,10,0,22,0,0,3,0,33.3%,0,0,1,100.0%,2002.0,DAL
1668.0,"Hunter Goodwin",16,4,20,5.0,1.3,2,1,8,0,0,6,0,66.7%,0,0,2,50.0%,2002.0,MIN
1669.0,"Ricky Williams",10,1,20,20.0,2.0,8,1,20,0,0,2,1,50.0%,0,0,1,100.0%,2002.0,IND
1670.0,"Randy Jordan",14,2,19,9.5,1.4,19,0,15,0,0,4,1,50.0%,0,0,1,50.0%,2002.0,OAK
1671.0,"Chad Morton",16,3,19,6.3,1.2,17,0,8,0,0,5,0,60.0%,0,0,0,0.0%,2002.0,NYJ
1672.0,"Adrian Peterson",9,3,18,6.0,2.0,30,0,16,0,0,4,0,75.0%,0,0,1,33.3%,2002.0,CHI
1673.0,"Shad Meier",12,1,17,17.0,1.4,0,1,17,0,0,4,0,25.0%,0,0,1,100.0%,2002.0,TEN
1674.0,"Mike Roberg",12,2,17,8.5,1.4,5,1,15,0,0,4,0,50.0%,0,0,2,100.0%,2002.0,IND
1675.0,"Robert Baker",10,1,17,17.0,1.7,0,0,17,0,0,4,0,25.0%,0,0,1,100.0%,2002.0,MIA
1677.0,"Michael Vick",15,0,16,-,1.1,0,0,16,0,0,0,0,-,0,0,0,-,2002.0,ATL
1678.0,"Ryan Hannam",15,1,16,16.0,1.1,0,1,16,0,0,1,0,100.0%,0,0,1,100.0%,2002.0,SEA
1679.0,"Justin Peelle",15,3,15,5.0,1.0,7,0,10,0,0,7,0,42.9%,0,0,0,0.0%,2002.0,SD
1680.0,"Detron Smith",11,1,14,14.0,1.3,14,0,14,0,0,1,0,100.0%,0,0,1,100.0%,2002.0,IND
1682.0,"Eddie Berlin",16,1,14,14.0,0.9,4,0,14,0,0,1,0,100.0%,0,0,1,100.0%,2002.0,TEN
1683.0,"Chris Baker",12,2,14,7.0,1.2,7,0,10,0,0,3,0,66.7%,0,0,1,50.0%,2002.0,NYJ
1684.0,"Stephen Trejo",16,2,13,6.5,0.8,9,0,8,0,0,4,0,50.0%,0,0,0,0.0%,2002.0,DET
1685.0,"Tory Woodbury",2,1,13,13.0,6.5,-1,0,13,0,0,1,0,100.0%,0,0,1,100.0%,2002.0,NYJ
1687.0,"Chris Fuamatu-Ma'afala",8,2,12,6.0,1.5,12,0,6,0,0,3,1,66.7%,0,0,0,0.0%,2002.0,PIT
1688.0,"George Layne",2,2,11,5.5,5.5,10,0,6,0,0,2,0,100.0%,1,1,0,0.0%,2002.0,ATL
1689.0,"Drew Haddad",1,1,11,11.0,11.0,5,0,11,0,0,1,0,100.0%,0,0,1,100.0%,2002.0,IND
1691.0,"Verron Haynes",14,3,10,3.3,0.7,4,0,7,0,0,7,2,42.9%,0,0,0,0.0%,2002.0,PIT
1692.0,"Shawn Bryson",6,1,9,9.0,1.5,7,0,9,0,0,3,0,33.3%,0,0,1,100.0%,2002.0,BUF
1693.0,"James Jackson",16,3,9,3.0,0.6,15,0,5,0,0,5,1,60.0%,0,0,0,0.0%,2002.0,CLE
1694.0,"Mike Bartrum",16,1,8,8.0,0.5,5,0,8,0,0,2,0,50.0%,0,0,0,0.0%,2002.0,PHI
1695.0,"Matt Murphy",3,1,8,8.0,2.7,2,0,8,0,0,4,0,25.0%,0,0,1,100.0%,2002.0,DET
1696.0,"Atnaf Harris",1,1,8,8.0,8.0,4,0,8,0,0,2,0,50.0%,0,0,0,0.0%,2002.0,HOU
1697.0,"Mike Wahle",16,1,7,7.0,0.4,6,0,7,0,0,1,0,100.0%,0,0,0,0.0%,2002.0,GB
1699.0,"Mike McMahon",8,1,7,7.0,0.9,12,0,7,0,0,1,0,100.0%,0,0,1,100.0%,2002.0,DET
1700.0,"Jason McKie",1,1,7,7.0,7.0,2,0,7,0,0,1,0,100.0%,0,0,0,0.0%,2002.0,DAL
1701.0,"Jay Graham",3,2,6,3.0,2.0,6,0,4,0,0,2,0,100.0%,0,0,0,0.0%,2002.0,GB
1702.0,"Lamont Hall",16,2,6,3.0,0.4,3,0,4,0,0,3,0,66.7%,0,0,0,0.0%,2002.0,NO
1703.0,"Tony Stewart",3,1,6,6.0,2.0,1,0,6,0,0,1,0,100.0%,0,0,0,0.0%,2002.0,CIN
1704.0,"Frisman Jackson",7,1,6,6.0,0.9,1,0,6,0,0,1,0,100.0%,0,0,1,100.0%,2002.0,CLE
1705.0,"Travis Stephens",1,1,6,6.0,6.0,7,0,6,0,0,1,0,100.0%,0,0,0,0.0%,2002.0,TB
1706.0,"J.R. Redmond",9,2,5,2.5,0.6,1,0,3,0,0,3,0,66.7%,0,0,0,0.0%,2002.0,NE
1707.0,"Patrick Washington",14,1,5,5.0,0.4,3,0,5,0,0,3,2,33.3%,0,0,0,0.0%,2002.0,JAX
1708.0,"Delvin Joyce",12,1,5,5.0,0.4,1,0,5,0,0,2,0,50.0%,0,0,0,0.0%,2002.0,NYG
1709.0,"Chris Luzar",12,1,5,5.0,0.4,0,0,5,0,0,2,0,50.0%,0,0,0,0.0%,2002.0,JAX
1710.0,"Matt Cushing",6,1,4,4.0,0.7,0,0,4,0,0,1,0,100.0%,0,0,0,0.0%,2002.0,PIT
1712.0,"Rafael Cooper",5,1,4,4.0,0.8,2,0,4,0,0,3,1,33.3%,0,0,0,0.0%,2002.0,DET
1713.0,"Adam Timmerman",16,0,3,-,0.2,0,0,3,0,0,0,0,-,0,0,0,-,2002.0,STL
1714.0,"Marc Bulger",7,1,3,3.0,0.4,6,0,3,0,0,1,0,100.0%,0,0,0,0.0%,2002.0,STL
1715.0,"Chris Hetherington",6,1,2,2.0,0.3,1,0,2,0,0,2,0,50.0%,0,0,0,0.0%,2002.0,STL
1717.0,"Mike Vrabel",16,1,1,1.0,0.1,0,1,1,0,0,1,0,100.0%,0,0,1,100.0%,2002.0,NE
1718.0,"Tommy Maddox",15,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-,2002.0,PIT
1719.0,"Herman Moore",1,0,0,-,0.0,0,0,0,0,0,3,0,0.0%,0,0,0,-,2002.0,NYG
1720.0,"Gilbert Brown",12,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-,2002.0,GB
1721.0,"Drew Bledsoe",16,0,0,-,0.0,0,0,0,0,0,0,0,-,1,0,0,-,2002.0,BUF
1722.0,"Tony Carter",12,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-,2002.0,GB
1723.0,"Tamarick Vanover",7,0,0,-,0.0,0,0,0,0,0,2,0,0.0%,0,0,0,-,2002.0,SD
1724.0,"Kordell Stewart",7,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-,2002.0,PIT
1726.0,"John Allred",13,0,0,-,0.0,0,0,0,0,0,1,1,0.0%,0,0,0,-,2002.0,PIT
1727.0,"Ed Perry",16,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-,2002.0,MIA
1729.0,"Patrick Mannelly",14,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-,2002.0,CHI
1730.0,"Rod Rutledge",7,0,0,-,0.0,0,0,0,0,0,3,2,0.0%,0,0,0,-,2002.0,HOU
1731.0,"Todd Weiner",16,1,0,0.0,0.0,9,0,0,0,0,1,0,100.0%,0,0,1,100.0%,2002.0,ATL
1732.0,"Darrin Chiaverini",7,0,0,-,0.0,0,0,0,0,0,1,1,0.0%,0,0,0,-,2002.0,ATL
1681.0,"Bryan Gilmore",7,1,14,14.0,2.0,10,0,14,0,0,4,0,25.0%,0,0,1,100.0%,2002.0,ARI
1666.0,"Omar Easy",7,3,23,7.7,3.3,15,1,13,0,0,5,2,60.0%,0,0,2,66.7%,2002.0,KAN
1676.0,"Jason Dunn",11,2,16,8.0,1.5,11,0,11,0,0,3,1,66.7%,0,0,1,50.0%,2002.0,KAN
1690.0,"Billy Baber",12,2,10,5.0,0.8,2,1,7,0,0,3,0,66.7%,0,0,1,50.0%,2002.0,KAN
1711.0,"Marvin Minnis",2,1,4,4.0,2.0,0,0,4,0,0,4,0,25.0%,0,0,0,0.0%,2002.0,KAN
1686.0,"Leonard Stephens",5,1,13,13.0,2.6,7,0,13,0,0,4,0,25.0%,0,0,1,100.0%,2002.0,WAS
1733.0,"Madre Hill",2,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-,2002.0,OAK
1734.0,"Daunte Culpepper",16,0,0,-,0.0,0,0,0,0,0,0,0,-,0,0,0,-,2002.0,MIN
1735.0,"Donovan McNabb",10,0,0,-,0.0,0,0,0,0,0,1,1,0.0%,0,0,0,-,2002.0,PHI
1737.0,"James Dearth",16,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-,2002.0,NYJ
1738.0,"Mondriel Fulcher",2,0,0,-,0.0,0,0,0,0,0,1,1,0.0%,0,0,0,-,2002.0,OAK
1739.0,"Tom Brady",16,0,0,-,0.0,0,0,0,0,0,0,0,-,0,0,0,-,2002.0,NE
1740.0,"Doug Chapman",6,0,0,-,0.0,0,0,0,0,0,1,1,0.0%,0,0,0,-,2002.0,MIN
1741.0,"Alex Bannister",16,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-,2002.0,SEA
1742.0,"John Howell",16,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-,2002.0,TB
1743.0,"Milton Wynn",3,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-,2002.0,BAL
1744.0,"Elvis Joseph",15,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-,2002.0,JAX
1745.0,"R.J. Bowers",4,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-,2002.0,CLE
1746.0,"Micah Ross",16,0,0,-,0.0,0,0,0,0,0,5,0,0.0%,0,0,0,-,2002.0,JAX
1747.0,"Herb Haygood",4,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-,2002.0,DEN
1748.0,"Jeb Putzier",3,0,0,-,0.0,0,0,0,0,0,1,1,0.0%,0,0,0,-,2002.0,DEN
1749.0,"Chris Massey",16,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-,2002.0,STL
1750.0,"Derek Dorris",6,0,0,-,0.0,0,0,0,0,0,2,0,0.0%,0,0,0,-,2002.0,NYG
1751.0,"Lee Mays",16,0,0,-,0.0,0,0,0,0,0,2,0,0.0%,0,0,0,-,2002.0,PIT
1752.0,"James Jordan",6,0,0,-,0.0,0,0,0,0,0,2,1,0.0%,0,0,0,-,2002.0,SF
1753.0,"John Henderson",16,0,0,-,0.0,0,0,0,0,0,1,0,0.0%,0,0,0,-,2002.0,JAX
1754.0,"Anthony Bright",1,0,0,-,0.0,0,0,0,0,0,3,1,0.0%,0,0,0,-,2002.0,CAR
1755.0,"Eddie Drummond",9,2,-3,-1.5,-0.3,0,0,-1,0,0,3,0,66.7%,0,0,0,0.0%,2002.0,DET
1756.0,"Ruben Brown",16,1,-6,-6.0,-0.4,-2,0,-6,0,0,1,0,100.0%,0,0,0,0.0%,2002.0,BUF
1758.0,"Torry Holt",16,117,1696,14.5,106.0,377,12,48,15,10,183,5,63.9%,1,0,84,71.8%,2003.0,STL
1759.0,"Randy Moss",16,111,1632,14.7,102.0,439,17,72,16,8,172,9,64.5%,1,1,76,68.5%,2003.0,MIN
1761.0,"Chad Johnson",16,90,1355,15.1,84.7,367,10,82,12,5,154,3,58.4%,0,0,66,73.3%,2003.0,CIN
1762.0,"Derrick Mason",16,95,1303,13.7,81.4,274,8,50,11,3,133,3,71.4%,0,0,68,71.6%,2003.0,TEN
1763.0,"Marvin Harrison",15,94,1272,13.5,84.8,329,10,79,15,6,142,7,66.2%,2,2,60,63.8%,2003.0,IND
1765.0,"Keenan McCardell",16,84,1174,14.0,73.4,333,8,76,9,4,138,2,60.9%,1,1,53,63.1%,2003.0,TB
1766.0,"Hines Ward",16,95,1163,12.2,72.7,373,10,50,9,2,156,8,60.9%,0,0,60,63.2%,2003.0,PIT
1767.0,"Darrell Jackson",16,68,1137,16.7,71.1,401,9,80,11,3,130,12,52.3%,1,1,54,79.4%,2003.0,SEA
1768.0,"Steve Smith",16,88,1110,12.6,69.4,522,7,67,9,3,141,10,62.4%,2,0,48,54.5%,2003.0,CAR
1769.0,"Santana Moss",16,74,1105,14.9,69.1,317,10,65,12,4,117,4,63.2%,2,2,49,66.2%,2003.0,NYJ
1770.0,"Terrell Owens",15,80,1102,13.8,73.5,371,9,75,8,4,146,11,54.8%,0,0,55,68.8%,2003.0,SF
1771.0,"Amani Toomer",16,63,1057,16.8,66.1,251,5,77,8,3,152,5,41.4%,0,0,48,76.2%,2003.0,NYG
1772.0,"Isaac Bruce",15,69,981,14.2,65.4,270,5,41,10,2,119,5,58.0%,0,0,49,71.0%,2003.0,STL
1773.0,"Andre Johnson",16,66,976,14.8,61.0,445,4,46,12,3,119,10,55.5%,0,0,45,68.2%,2003.0,HOU
1774.0,"Joe Horn",15,78,973,12.5,64.9,166,10,50,5,4,130,5,60.0%,2,0,52,66.7%,2003.0,NO
1775.0,"Chris Chambers",16,64,963,15.1,60.2,248,11,57,8,2,130,4,49.2%,1,1,50,78.1%,2003.0,MIA
1777.0,"Koren Robinson",15,65,896,13.8,59.7,238,4,38,9,1,119,10,54.6%,1,1,39,60.0%,2003.0,SEA
1778.0,"David Boston",14,70,880,12.6,62.9,286,7,46,7,2,115,9,60.9%,2,2,42,60.0%,2003.0,SD
1779.0,"Jerry Rice",16,63,869,13.8,54.3,222,2,47,4,2,124,6,50.8%,2,1,44,69.8%,2003.0,OAK
1780.0,"Plaxico Burress",16,60,860,14.3,53.8,137,4,47,5,3,124,5,48.4%,1,0,40,66.7%,2003.0,PIT
1782.0,"Rod Smith",15,74,845,11.4,56.3,327,3,38,2,1,114,5,64.9%,0,0,48,64.9%,2003.0,DEN
1783.0,"Peerless Price",16,64,838,13.1,52.4,181,3,49,6,1,141,8,45.4%,0,0,40,62.5%,2003.0,ATL
1784.0,"Reggie Wayne",16,68,838,12.3,52.4,198,7,57,7,2,107,3,63.6%,0,0,49,72.1%,2003.0,IND
1785.0,"Muhsin Muhammad",15,54,837,15.5,55.8,239,3,60,8,1,100,5,54.0%,3,1,37,68.5%,2003.0,CAR
1786.0,"Peter Warrick",15,79,819,10.4,54.6,316,7,77,5,2,122,7,64.8%,0,0,48,60.8%,2003.0,CIN
1787.0,"Justin McCareins",16,47,813,17.3,50.8,222,7,73,9,0,82,3,57.3%,0,0,40,85.1%,2003.0,TEN
1788.0,"Jimmy Smith",12,54,805,14.9,67.1,153,4,67,7,2,112,4,48.2%,1,0,38,70.4%,2003.0,JAX
1789.0,"Deion Branch",15,57,803,14.1,53.5,250,3,66,6,1,104,4,54.8%,0,0,40,70.2%,2003.0,NE
1790.0,"Eric Moulds",13,64,780,12.2,60.0,267,1,49,5,2,121,3,52.9%,0,0,35,54.7%,2003.0,BUF
1791.0,"Shannon Sharpe",15,62,770,12.4,51.3,264,8,28,6,1,94,3,66.0%,0,0,42,67.7%,2003.0,DEN
1792.0,"Terry Glenn",16,52,754,14.5,47.1,140,5,51,7,2,96,5,54.2%,2,0,37,71.2%,2003.0,DAL
1794.0,"Bobby Shaw",16,56,732,13.1,45.8,254,4,54,4,0,86,4,65.1%,1,1,37,66.1%,2003.0,BUF
1795.0,"Dennis Northcutt",15,62,729,11.8,48.6,259,2,44,4,1,92,1,67.4%,0,0,42,67.7%,2003.0,CLE
1796.0,"LaDainian Tomlinson",16,100,725,7.3,45.3,815,4,73,2,2,137,5,73.0%,0,0,26,26.0%,2003.0,SD
1797.0,"Javon Walker",16,41,716,17.5,44.8,178,9,66,8,1,74,1,55.4%,1,1,27,65.9%,2003.0,GB
1798.0,"Marty Booker",13,52,715,13.8,55.0,222,4,61,6,1,105,5,49.5%,0,0,31,59.6%,2003.0,CHI
1799.0,"Todd Heap",16,57,693,12.2,43.3,223,3,33,7,1,112,5,50.9%,1,0,32,56.1%,2003.0,BAL
1776.0,"Tony Gonzalez",16,71,916,12.9,57.3,350,10,67,8,1,106,7,67.0%,0,0,48,67.6%,2003.0,KAN
1781.0,"Eddie Kennison",16,56,853,15.2,53.3,166,5,51,6,1,99,8,56.6%,1,1,43,76.8%,2003.0,KAN
1757.0,"Shane Matthews",8,1,-13,-13.0,-1.6,-6,0,-13,0,0,1,0,100.0%,0,0,0,0.0%,2002.0,WAS
1764.0,"Laveranues Coles",16,82,1204,14.7,75.3,489,6,64,10,4,158,11,51.9%,0,0,54,65.9%,2003.0,WAS
1801.0,"Joey Galloway",15,34,672,19.8,44.8,121,2,64,7,2,83,6,41.0%,0,0,27,79.4%,2003.0,DAL
1802.0,"Moe Williams",16,65,644,9.9,40.3,553,3,42,3,1,85,5,76.5%,0,0,34,52.3%,2003.0,MIN
1803.0,"Curtis Conway",16,46,640,13.9,40.0,140,2,45,5,0,102,5,45.1%,0,0,33,71.7%,2003.0,NYJ
1804.0,"Bobby Engram",16,52,637,12.3,39.8,283,6,34,5,0,74,3,70.3%,1,1,34,65.4%,2003.0,SEA
1806.0,"Travis Taylor",16,39,632,16.2,39.5,191,3,73,8,1,90,11,43.3%,0,0,23,59.0%,2003.0,BAL
1807.0,"Ashley Lelie",16,37,628,17.0,39.3,133,2,60,8,2,81,2,45.7%,0,0,25,67.6%,2003.0,DEN
1808.0,"Donald Driver",15,52,621,11.9,41.4,160,2,41,5,1,86,5,60.5%,0,0,30,57.7%,2003.0,GB
1809.0,"Ike Hilliard",13,60,608,10.1,46.8,198,6,38,1,1,102,4,58.8%,2,2,38,63.3%,2003.0,NYG
1810.0,"Keyshawn Johnson",10,45,600,13.3,60.0,123,3,39,2,2,74,6,60.8%,0,0,33,73.3%,2003.0,TB
1812.0,"Randy McMichael",16,49,598,12.2,37.4,204,2,46,5,1,83,3,59.0%,0,0,29,59.2%,2003.0,MIA
1813.0,"Michael Pittman",16,75,597,8.0,37.3,387,2,68,3,0,120,8,62.5%,2,1,21,28.0%,2003.0,TB
1814.0,"Tai Streets",16,47,595,12.7,37.2,139,7,41,4,0,85,2,55.3%,0,0,30,63.8%,2003.0,SF
1815.0,"Josh Reed",16,58,588,10.1,36.8,178,2,26,1,1,104,5,55.8%,1,1,33,56.9%,2003.0,BUF
1816.0,"Dez White",15,49,583,11.9,38.9,150,3,49,5,0,107,5,45.8%,0,0,30,61.2%,2003.0,CHI
1817.0,"Jerome Pathon",16,44,578,13.1,36.1,124,4,40,4,0,79,5,55.7%,1,1,27,61.4%,2003.0,NO
1818.0,"Andre' Davis",16,40,576,14.4,36.0,127,5,49,3,1,62,1,64.5%,0,0,31,77.5%,2003.0,CLE
1819.0,"Todd Pinkston",16,36,575,16.0,35.9,144,2,59,6,1,86,7,41.9%,1,1,22,61.1%,2003.0,PHI
1820.0,"Tim Brown",16,52,567,10.9,35.4,199,2,36,4,1,94,6,55.3%,0,0,28,53.8%,2003.0,OAK
1821.0,"James Thrash",16,49,558,11.4,34.9,208,1,51,3,0,92,6,53.3%,0,0,24,49.0%,2003.0,PHI
1822.0,"Alge Crumpler",16,44,552,12.6,34.5,255,3,63,4,0,80,8,55.0%,1,1,26,59.1%,2003.0,ATL
1823.0,"Antonio Bryant",16,39,550,14.1,34.4,131,2,54,4,0,83,10,47.0%,0,0,27,69.2%,2003.0,DAL
1824.0,"Marcus Pollard",14,40,541,13.5,38.6,311,3,70,4,0,57,4,70.2%,1,0,25,62.5%,2003.0,IND
1825.0,"Jeremy Shockey",9,48,535,11.2,59.4,190,2,46,2,1,70,4,68.6%,1,1,29,60.4%,2003.0,NYG
1826.0,"Kelly Campbell",15,25,522,20.9,34.8,113,4,72,9,1,44,2,56.8%,1,1,15,60.0%,2003.0,MIN
1827.0,"Robert Ferguson",15,38,520,13.7,34.7,133,4,47,4,0,59,1,64.4%,0,0,25,65.8%,2003.0,GB
1829.0,"Quincy Morgan",16,38,516,13.6,32.3,197,3,71,4,1,79,6,48.1%,0,0,23,60.5%,2003.0,CLE
1830.0,"Deuce McAllister",16,69,516,7.5,32.3,586,0,39,1,0,86,4,80.2%,0,0,22,31.9%,2003.0,NO
1831.0,"David Givens",13,34,510,15.0,39.2,126,6,57,6,0,54,2,63.0%,0,0,24,70.6%,2003.0,NE
1832.0,"Drew Bennett",12,32,504,15.8,42.0,82,4,48,4,1,54,2,59.3%,0,0,27,84.4%,2003.0,TEN
1833.0,"Freddie Mitchell",16,35,498,14.2,31.1,174,2,39,5,0,59,2,59.3%,0,0,23,65.7%,2003.0,PHI
1834.0,"Dane Looker",16,47,495,10.5,30.9,176,3,41,2,0,75,1,62.7%,1,1,27,57.4%,2003.0,STL
1835.0,"Richie Anderson",15,69,493,7.1,32.9,466,4,37,2,0,87,3,79.3%,1,0,21,30.4%,2003.0,DAL
1836.0,"Itula Mili",16,46,492,10.7,30.8,223,4,46,3,0,62,5,74.2%,0,0,28,60.9%,2003.0,SEA
1837.0,"Troy Edwards",13,35,487,13.9,37.5,168,3,84,3,1,62,1,56.5%,0,0,22,62.9%,2003.0,JAX
1838.0,"Donte' Stallworth",11,25,485,19.4,44.1,211,3,76,5,2,55,3,45.5%,1,1,19,76.0%,2003.0,NO
1839.0,"Troy Brown",12,40,472,11.8,39.3,161,4,82,2,1,60,2,66.7%,0,0,18,45.0%,2003.0,NE
1840.0,"Tiki Barber",16,69,461,6.7,28.8,408,1,36,2,0,98,5,70.4%,3,1,26,37.7%,2003.0,NYG
1841.0,"Corey Bradford",16,24,460,19.2,28.8,237,4,78,4,1,62,1,38.7%,0,0,16,66.7%,2003.0,HOU
1842.0,"Troy Walters",15,36,456,12.7,30.4,160,3,46,3,0,52,4,69.2%,0,0,25,69.4%,2003.0,IND
1843.0,"Nate Burleson",16,29,455,15.7,28.4,202,2,52,4,0,57,0,50.9%,1,1,17,58.6%,2003.0,MIN
1844.0,"Marcus Robinson",15,31,451,14.6,30.1,104,6,50,5,2,62,3,50.0%,0,0,23,74.2%,2003.0,BAL
1845.0,"Az-Zahir Hakim",14,49,449,9.2,32.1,136,4,28,1,0,108,9,45.4%,2,1,27,55.1%,2003.0,DET
1846.0,"Kevin Faulk",15,48,440,9.2,29.3,440,0,27,3,1,66,2,72.7%,1,1,20,41.7%,2003.0,NE
1848.0,"Jed Weaver",16,35,437,12.5,27.3,137,1,30,2,0,53,2,66.0%,1,0,20,57.1%,2003.0,SF
1849.0,"Jerald Sowell",16,47,436,9.3,27.3,321,1,44,1,0,60,3,78.3%,0,0,27,57.4%,2003.0,NYJ
1850.0,"Boo Williams",16,41,436,10.6,27.3,145,5,31,2,1,62,1,66.1%,0,0,25,61.0%,2003.0,NO
1851.0,"Mikhael Ricks",16,37,434,11.7,27.1,244,2,38,5,0,61,6,60.7%,0,0,24,64.9%,2003.0,DET
1852.0,"Desmond Clark",15,44,433,9.8,28.9,169,2,31,2,0,71,3,62.0%,2,2,23,52.3%,2003.0,CHI
1853.0,"Charles Lee",8,33,432,13.1,54.0,218,2,72,2,0,46,0,71.7%,0,0,18,54.5%,2003.0,TB
1855.0,"Daniel Graham",14,38,409,10.8,29.2,172,4,38,6,1,63,7,60.3%,0,0,21,55.3%,2003.0,NE
1856.0,"Jabar Gaffney",16,34,402,11.8,25.1,132,2,33,2,0,57,1,59.6%,0,0,21,61.8%,2003.0,HOU
1857.0,"Jim Kleinsasser",16,46,401,8.7,25.1,237,4,19,0,0,59,4,78.0%,0,0,23,50.0%,2003.0,MIN
1858.0,"Bill Schroeder",16,36,397,11.0,24.8,106,2,26,2,0,80,3,45.0%,0,0,24,66.7%,2003.0,DET
1859.0,"Cedrick Wilson",16,35,396,11.3,24.8,109,2,29,2,0,63,3,55.6%,1,0,24,68.6%,2003.0,SF
1860.0,"Ricky Proehl",16,27,389,14.4,24.3,83,4,66,5,1,52,3,51.9%,0,0,15,55.6%,2003.0,CAR
1861.0,"Antonio Gates",15,24,389,16.2,25.9,135,2,48,5,1,42,3,57.1%,1,1,19,79.2%,2003.0,SD
1862.0,"Charlie Garner",14,48,386,8.0,27.6,326,1,46,2,1,70,4,68.6%,0,0,15,31.3%,2003.0,OAK
1863.0,"Duce Staley",16,36,382,10.6,23.9,366,2,52,3,0,47,3,76.6%,1,1,19,52.8%,2003.0,PHI
1864.0,"Erron Kinney",16,41,381,9.3,23.8,133,3,28,2,0,58,5,70.7%,1,0,23,56.1%,2003.0,TEN
1828.0,"Freddie Jones",16,55,517,9.4,32.3,201,3,34,3,0,89,0,61.8%,0,0,19,34.5%,2003.0,ARI
1800.0,"Priest Holmes",16,74,690,9.3,43.1,822,0,36,5,1,90,6,82.2%,0,0,36,48.6%,2003.0,KAN
1854.0,"Dante Hall",16,40,423,10.6,26.4,225,1,67,5,2,60,3,66.7%,0,0,16,40.0%,2003.0,KAN
1811.0,"Rod Gardner",16,59,600,10.2,37.5,178,5,35,3,1,115,8,51.3%,1,0,30,50.8%,2003.0,WAS
1865.0,"Fred Taylor",16,48,370,7.7,23.1,381,1,60,1,0,74,12,64.9%,1,1,16,33.3%,2003.0,JAX
1866.0,"Brian Finneran",12,26,368,14.2,30.7,88,2,38,4,0,54,5,48.1%,0,0,21,80.8%,2003.0,ATL
1867.0,"Ahman Green",16,50,367,7.3,22.9,408,5,27,1,0,60,2,83.3%,0,0,19,38.0%,2003.0,GB
1868.0,"Antwaan Randle El",16,37,364,9.8,22.8,61,1,32,2,0,56,4,66.1%,0,0,21,56.8%,2003.0,PIT
1869.0,"Jerry Porter",9,28,361,12.9,40.1,116,1,35,2,0,57,2,49.1%,1,1,21,75.0%,2003.0,OAK
1870.0,"David Terrell",16,43,361,8.4,22.6,117,1,35,1,0,84,4,51.2%,1,0,19,44.2%,2003.0,CHI
1872.0,"Derrius Thompson",16,26,359,13.8,22.4,48,0,31,1,0,59,2,44.1%,0,0,19,73.1%,2003.0,MIA
1873.0,"Anthony Becht",16,40,356,8.9,22.3,192,4,29,1,0,58,6,69.0%,1,0,26,65.0%,2003.0,NYJ
1874.0,"Billy Miller",16,40,355,8.9,22.2,141,3,25,1,0,64,4,62.5%,0,0,18,45.0%,2003.0,HOU
1875.0,"Ricky Williams",16,50,351,7.0,21.9,438,1,59,2,0,62,4,80.6%,3,1,11,22.0%,2003.0,MIA
1876.0,"Domanick Williams",14,47,351,7.5,25.1,291,0,17,0,0,68,7,69.1%,2,1,15,31.9%,2003.0,HOU
1877.0,"Jason Witten",15,35,347,9.9,23.1,107,1,36,1,0,54,4,64.8%,0,0,18,51.4%,2003.0,DAL
1878.0,"Shawn Bryson",16,54,340,6.3,21.3,324,0,26,1,0,72,6,75.0%,0,0,10,18.5%,2003.0,DET
1879.0,"Dallas Clark",10,29,340,11.7,34.0,193,1,42,4,1,42,2,69.0%,0,0,16,55.2%,2003.0,IND
1880.0,"Mark Campbell",16,34,339,10.0,21.2,126,1,31,3,0,50,0,68.0%,0,0,11,32.4%,2003.0,BUF
1881.0,"Justin Gage",10,17,338,19.9,33.8,91,2,57,4,1,35,2,48.6%,1,1,14,82.4%,2003.0,CHI
1882.0,"Warrick Dunn",11,37,336,9.1,30.5,366,2,86,1,1,52,3,71.2%,1,1,14,37.8%,2003.0,ATL
1883.0,"Matt Schobel",15,24,332,13.8,22.1,127,2,45,3,0,30,0,80.0%,2,0,12,50.0%,2003.0,CIN
