index,name,games,receptions,yards,yds_per_ctch,yds_per_game,yac,td,long_ctch,recs_ovr_25,100yd_gms,targets,drops,ctch_pct,fumbles,fumbles_lost,first_down_ctchs,first_down_ctchpct,season,team
51.0,"Kevin Dyson",16,54,658,12.2,41.1,144,4,47,3,1,103,7,52.4%,0,0,34,63.0%,1999.0,TEN
52.0,"Torrance Small",15,49,655,13.4,43.7,208,4,84,4,1,100,6,49.0%,0,0,29,59.2%,1999.0,PHI
53.0,"Yancey Thigpen",10,38,648,17.1,64.8,128,4,35,8,1,69,2,55.1%,1,1,30,78.9%,1999.0,TEN
54.0,"Jake Reed",16,44,643,14.6,40.2,186,2,50,6,2,80,8,55.0%,0,0,27,61.4%,1999.0,MIN
55.0,"Frank Wycheck",16,69,641,9.3,40.1,415,2,35,5,0,108,8,63.9%,0,0,33,47.8%,1999.0,TEN
56.0,"Hines Ward",16,61,638,10.5,39.9,172,7,42,3,0,102,1,59.8%,1,0,31,50.8%,1999.0,PIT
57.0,"Corey Bradford",16,37,637,17.2,39.8,177,5,74,6,1,91,6,40.7%,1,1,25,67.6%,1999.0,GB
58.0,"Wayne Chrebet",11,48,631,13.2,57.4,200,3,50,5,1,81,6,59.3%,0,0,26,54.2%,1999.0,NYJ
60.0,"Tiki Barber",16,66,609,9.2,38.1,573,2,56,3,1,91,4,72.5%,1,0,32,48.5%,1999.0,NYG
61.0,"David Sloan",16,47,591,12.6,36.9,240,4,74,2,0,76,5,61.8%,0,0,27,57.4%,1999.0,DET
62.0,"Warrick Dunn",15,64,589,9.2,39.3,619,2,68,3,1,83,4,77.1%,0,0,29,45.3%,1999.0,TB
34.0,"Tony Gonzalez",15,76,849,11.2,56.6,271,11,73,1,0,109,6,69.7%,2,1,47,61.8%,1999.0,KAN
8.0,"Michael Westbrook",16,65,1191,18.3,74.4,349,9,65,15,5,116,6,56.0%,2,1,48,73.8%,1999.0,WAS
13.0,"Albert Connell",15,62,1132,18.3,75.5,294,7,62,15,4,123,11,50.4%,1,1,42,67.7%,1999.0,WAS
64.0,"Edgerrin James",16,62,586,9.5,36.6,497,4,54,6,0,87,5,71.3%,2,1,24,38.7%,1999.0,IND
65.0,"Dorsey Levens",14,71,573,8.1,40.9,646,1,53,3,0,92,6,77.2%,0,0,26,36.6%,1999.0,GB
66.0,"Terrence Wilkins",16,42,565,13.5,35.3,313,4,80,5,1,68,5,61.8%,1,1,25,59.5%,1999.0,IND
67.0,"Andre Hastings",15,40,564,14.1,37.6,102,1,42,6,1,64,2,62.5%,0,0,25,62.5%,1999.0,NO
68.0,"Rickey Dudley",16,39,555,14.2,34.7,260,9,35,2,0,59,4,66.1%,0,0,36,92.3%,1999.0,OAK
69.0,"James Jett",16,39,552,14.2,34.5,126,2,43,5,0,80,4,48.8%,0,0,32,82.1%,1999.0,OAK
71.0,"Justin Armour",15,37,538,14.5,35.9,110,4,54,5,0,89,4,41.6%,0,0,29,78.4%,1999.0,BAL
72.0,"Andre Reed",16,52,536,10.3,33.5,120,1,30,1,0,92,5,56.5%,0,0,31,59.6%,1999.0,BUF
73.0,"Charlie Garner",16,56,535,9.6,33.4,439,2,53,3,0,76,5,73.7%,0,0,22,39.3%,1999.0,SF
74.0,"Terry Kirby",16,58,528,9.1,33.0,465,3,78,2,0,77,6,75.3%,1,0,18,31.0%,1999.0,CLE
75.0,"Patrick Johnson",10,29,526,18.1,52.6,128,3,76,7,1,58,3,50.0%,1,1,19,65.5%,1999.0,BAL
76.0,"Pete Mitchell",15,58,520,9.0,34.7,216,3,25,1,0,91,4,63.7%,1,1,34,58.6%,1999.0,NYG
77.0,"O.J. McDuffie",12,43,516,12.0,43.0,142,2,34,4,0,81,5,53.1%,1,1,30,69.8%,1999.0,MIA
78.0,"Jay Riemersma",14,37,496,13.4,35.4,155,4,38,4,0,65,2,56.9%,0,0,25,67.6%,1999.0,BUF
79.0,"Byron Chamberlain",16,32,488,15.3,30.5,283,2,88,3,1,57,2,56.1%,0,0,18,56.3%,1999.0,DEN
80.0,"Darrin Chiaverini",16,44,487,11.1,30.4,119,4,28,2,1,78,2,56.4%,0,0,26,59.1%,1999.0,CLE
81.0,"Ken Dilger",15,40,479,12.0,31.9,252,2,30,4,0,51,4,78.4%,1,0,28,70.0%,1999.0,IND
83.0,"Troy Brown",13,36,471,13.1,36.2,274,1,37,6,1,55,0,65.5%,0,0,23,63.9%,1999.0,NE
84.0,"Eddie George",16,47,458,9.7,28.6,485,4,54,1,0,64,5,73.4%,0,0,21,44.7%,1999.0,TEN
85.0,"Jason Tucker",15,23,439,19.1,29.3,210,2,90,3,2,46,2,50.0%,0,0,20,87.0%,1999.0,DAL
86.0,"J.J. Stokes",16,34,429,12.6,26.8,183,3,47,4,1,79,1,43.0%,1,0,20,58.8%,1999.0,SF
87.0,"Mikhael Ricks",16,40,429,10.7,26.8,152,0,50,3,0,74,3,54.1%,0,0,24,60.0%,1999.0,SD
88.0,"Curtis Conway",9,44,426,9.7,47.3,241,4,30,3,1,79,5,55.7%,2,1,23,52.3%,1999.0,CHI
90.0,"Charles Johnson",11,34,414,12.2,37.6,127,1,36,6,0,72,2,47.2%,1,0,20,58.8%,1999.0,PHI
91.0,"Jon Ritchie",16,45,408,9.1,25.5,295,1,20,0,0,61,2,73.8%,0,0,23,51.1%,1999.0,OAK
92.0,"Peerless Price",16,31,393,12.7,24.6,104,3,45,4,1,71,3,43.7%,0,0,19,61.3%,1999.0,BUF
93.0,"Ricky Watters",16,40,387,9.7,24.2,381,2,25,1,0,64,4,62.5%,1,1,17,42.5%,1999.0,SEA
94.0,"Bobby Shaw",13,28,387,13.8,29.8,111,3,49,3,1,43,3,65.1%,0,0,18,64.3%,1999.0,PIT
95.0,"Kevin Williams",16,31,381,12.3,23.8,157,0,35,3,0,51,1,60.8%,0,0,20,64.5%,1999.0,BUF
96.0,"Christian Fauria",16,35,376,10.7,23.5,115,0,25,1,0,53,0,66.0%,1,0,19,54.3%,1999.0,SEA
