index,rk,name,season,age,draft_pos,team,league,height,weight,bmi,games,games_started,rush_atts,rush_yds,rush_y/a,rush_tds,rush_ypg,targets,receptions,rec_yards,yards/reception,rec_tds,rec_ypg,ctch_pct,y/tgt,fumbles,fumbles_recovered,fum_ret_yds,fum_tds,forced_fumbles,years_in_league,pro_bowls,all_pros,av,position,100yd_gms,yac,first_down_ctchs,first_down_ctchpct,long_ctch,recs_ovr_25,drops,EYds,DPI,DVOA,DYAR,position,"Hand Size in","Arm Length in","40 Yard","Vert Leap in","Broad Jump in",Shuttle,3Cone,"60Yd Shuttle",team_pass_tds,team_pass_yds,team_pass_attempts,team_completions,total_points,rookie_age,rookie_season
3417.0,3418.0,"Micheal Spurlock",2013.0,30.0,,2TM,NFL,5-10,214.0,30.7,11.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0%,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,wr,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,2006.0
3162.0,3163.0,"Chris Harper",2013.0,24.0,4-123,2TM,NFL,6-1,229.0,30.2,4.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0%,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,wr,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557.0,1558.0,"Kerry Taylor",2013.0,24.0,,2TM,NFL,6-0,197.0,26.7,10.0,4.0,0.0,0.0,,0.0,0.0,34.0,22.0,229.0,10.41,1.0,22.9,64.7%,6.74,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,wr,0,79,12,54.5%,17,0,1,,,,,,,,,,,,,,,,,,,24.0,2013.0
3017.0,3018.0,"Josh Bellamy",2013.0,24.0,,2TM,NFL,6-0,206.0,27.9,5.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0%,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,wr,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,2012.0
3281.0,3282.0,"Marvin McNutt",2013.0,24.0,6-194,2TM,NFL,6-4,216.0,26.3,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,wr,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,2012.0
1591.0,1592.0,"Kevin Ogletree",2013.0,26.0,,2TM,NFL,6-2,190.0,24.4,16.0,2.0,0.0,0.0,,0.0,0.0,45.0,21.0,269.0,12.81,2.0,16.8,46.7%,5.98,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,wr,0,95,15,71.4%,43,2,3,305.0,1/16,-8.7%,14.0,wr,,,4.36,36.0,122.0,4.08,6.67,,,,,,,22.0,2009.0
1602.0,1603.0,"Fozzy Whittaker",2013.0,24.0,,2TM,NFL,5-10,202.0,29.0,14.0,2.0,28.0,79.0,2.82,0.0,5.6,36.0,21.0,155.0,7.38,2.0,11.1,58.3%,4.31,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,wr,0,175,6,28.6%,35,1,5,,,,,,,,,,,,,,,,,,,24.0,2013.0
2787.0,2788.0,"Brian Tyms",2013.0,24.0,,2TM,NFL,6-3,210.0,26.2,7.0,0.0,0.0,0.0,,0.0,0.0,5.0,2.0,12.0,6.0,0.0,1.7,40.0%,2.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,wr,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,2012.0
2846.0,2847.0,"Armanti Edwards",2013.0,25.0,3-89,2TM,NFL,5-11,191.0,26.6,6.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,10.0,10.0,0.0,1.7,20.0%,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,wr,0,7,0,0.0%,10,0,0,,,,,,,,,,,,,,,,,,,22.0,2010.0
2357.0,2358.0,"Jeremy Ross",2013.0,25.0,,2TM,NFL,5-11,213.0,29.7,13.0,2.0,2.0,40.0,20.0,0.0,3.1,12.0,6.0,67.0,11.17,1.0,5.2,50.0%,5.58,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,wr,0,24,6,100.0%,19,0,2,98.0,0/0,-6.8%,6.0,wr,,,,,,,,,,,,,,24.0,2012.0
3415.0,3416.0,"Ryan Spadola",2013.0,22.0,,2TM,NFL,6-3,200.0,25.0,4.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,wr,0,0,0,-,0,0,0,,,,,,,,,,,,,,,,,,,22.0,2013.0
3404.0,3405.0,"Andre Smith",2013.0,25.0,,2TM,NFL,6-5,267.0,31.7,5.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0%,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,wr,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,2013.0
2205.0,2206.0,"Greg Salas",2013.0,25.0,4-112,2TM,NFL,6-1,206.0,27.2,8.0,0.0,0.0,0.0,,0.0,0.0,13.0,8.0,143.0,17.88,0.0,17.9,61.5%,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,wr,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,2011.0
