name,pca_1,pca_2,pca_5,pca_8,pca_13,pca_16,pca_18,pca_19,pca_21,pca_26,targets_2,receptions_2,rec_yards_2,rec_tds_2,rec_ypg_2,100yd_gms_2,first_down_ctchs_2,long_ctch_2,drops_2,DYAR_2,start_ratio_2,pct_team_tgts_2,pct_team_receptions_2,pct_of_team_passyards_2,pct_team_touchdowns_2,dropK_2,yacK_2,td_points_2,compilation_2,avg_starts,categories
Michael Lewis,-3.52646164403,-1.1348664709,-0.0164518920426,0.681277709027,5.0497010043,-1.26506493702,1.52137075014,-2.18528290898,-1.67078236579,-2.11354415612,25.0,12.0,226.0,1.0,17.4,0.0,10.0,39.0,1.0,0.67,0.0769230769231,0.0467289719626,0.0382165605096,0.065735892961,0.04,0.69314718056,9.36283185841,0.0175624240788,2.55356655664,0.025641025641,below average
Michael Westbrook,5.30528209445,-8.41948457217,-0.953871466086,0.89884803312,-0.842119324011,-1.76922732937,-0.0564830636096,2.02033259083,0.303135326155,0.3171415985,91.0,57.0,664.0,4.0,41.5,1.0,32.0,76.0,7.0,1.18,1.0,0.210648148148,0.242553191489,0.266988339365,0.307692307692,2.07944154168,56.6807228916,0.540382279348,38.786031567,1.0,below average
Mike Brown,-3.8070170552,3.45713673395,3.78697066626,-1.63915720242,-0.440314641387,-0.575934124224,-0.45063791397,0.0522341939275,0.94287190039,0.689150368425,15.0,7.0,88.0,0.0,17.6,0.0,5.0,17.0,3.0,0.333323339397,0.2,0.0269299820467,0.0215384615385,0.0293235588137,0.0,1.38629436112,5.5,0.0,0.428431435251,0.415151515152,below average
Mike Sims-Walker,2.1831451274,2.7738787024,0.921363026711,0.471481039596,0.745595603003,0.777926509284,-0.513064449859,0.834560128344,1.3440733286,-0.0570240316272,80.0,43.0,562.0,7.0,40.1,2.0,33.0,39.0,3.0,2.48203229813,0.928571428571,0.170575692964,0.147766323024,0.183360522023,0.269230769231,1.38629436112,30.0711743772,0.827460365253,31.7033614749,0.657671957672,below average
Mike Thomas,3.74145493247,5.50669478933,0.747241895932,1.30938049716,-1.44710813707,-0.828480607653,-0.166226128974,0.246518647435,1.00666183751,-0.858042672642,91.0,44.0,415.0,1.0,27.7,0.0,20.0,47.0,4.0,-1.1295631797,0.866666666667,0.194029850746,0.183333333333,0.190454336852,0.0833333333333,1.60943791243,88.8289156627,0.0365883834975,9.62385147157,0.613293650794,below average
Mike Wallace,7.88690366043,4.32324313035,-0.953599117711,0.67246874253,0.937930182737,-0.6654826772,-0.749939304192,1.19386810503,-0.39729052271,0.581732523209,114.0,72.0,1193.0,8.0,74.6,4.0,54.0,95.0,6.0,3.99,0.875,0.19689119171,0.198347107438,0.277570963239,0.363636363636,1.94591014906,203.729253982,1.27726720573,72.4937958355,0.708333333333,league_average
Miles Austin,-5.27123800356,1.28064623382,1.45828866014,0.357042170115,-1.55020789384,0.00231814653166,-1.5371749776,-0.327293080993,0.123184861542,-0.690992555262,23.0,13.0,278.0,3.0,23.2,1.0,11.0,63.0,0.0,1.07,0.0,0.0419708029197,0.0396341463415,0.0733702823964,0.103448275862,0.0,40.4172661871,0.136260186818,4.19995426196,0.0,below average
Mohamed Sanu,0.0235253802769,3.57669467897,0.125381715797,-1.92932390188,-1.65698815927,-0.54803970743,0.250039291559,-0.809195045864,-1.31765882416,-0.365489717648,98.0,56.0,790.0,5.0,49.4,2.0,37.0,76.0,9.0,0.99,0.8125,0.182156133829,0.1642228739,0.22159887798,0.25,2.30258509299,144.612658228,0.548825752463,33.0968603008,0.673611111111,below average
Muhsin Muhammad,13.0146326549,-2.95180027284,4.07527581034,-0.234732444663,-3.28218117798,0.124170318809,-0.0833789851361,-1.78598722928,0.372192887823,-1.33045270376,93.0,50.0,585.0,1.0,53.2,2.0,26.0,43.0,7.0,-0.83,1.0,0.160621761658,0.15923566879,0.202984038862,0.0833333333333,2.07944154168,76.1042735043,0.0365883834975,11.1114629163,1.0,quality starter
Na Brown,-3.77243731276,-1.78875907216,-0.713510311909,1.18413612093,0.122252061045,0.439306427823,1.09853290216,-0.00197047485722,-0.957476138271,0.336752824352,17.0,7.0,95.0,0.0,5.9,0.0,6.0,18.0,4.0,-0.23,0.125,0.0275526742301,0.0194444444444,0.0254965110038,0.0,1.60943791243,20.3789473684,0.0,0.293109675468,0.228174603175,below average
