,name,season,age,draft_pos,team,weight,bmi,games,rush_atts,rush_yds,rush_y/a,rush_tds,rush_ypg,targets,receptions,rec_yards,yards/reception,rec_tds,rec_ypg,ctch_pct,y/tgt,fumbles,fumbles_recovered,fum_ret_yds,fum_tds,forced_fumbles,pro_bowls,all_pros,position,100yd_gms,yac,first_down_ctchs,first_down_ctchpct,long_ctch,recs_ovr_25,drops,EYds,DVOA,DYAR,position.1,Hand Size in,Arm Length in,40 Yard,Vert Leap in,Broad Jump in,Shuttle,3Cone,60Yd Shuttle,team_pass_tds,team_pass_yds,team_pass_attempts,team_completions,total_points,rookie_age,rookie_season,height_inches,start_ratio,dpis_drawn,dpi_yards,pct_team_tgts,pct_team_receptions,pct_of_team_passyards,pct_team_touchdowns,years_in_league,dropK,yacK,base,td_points,compilation
10,Albert Connell,2001.0,27.0,4-115,NO,179.0,24.3,11.0,1.0,6.0,6.0,0.0,0.5,28.0,12.0,191.0,15.92,2.0,17.4,0.429,6.82,0.0,1.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,29.0,7.0,0.583,46.0,3.0,2.0,167.0,-0.119,0.02,wr,,,0.0,,,,,,27.0,3514.0,562.0,313.0,333.0,25.0,1999.0,72.0,0.0909090909091,0.0,0.0,0.0498220640569,0.038338658147,0.0543540125213,0.0740740740741,2.0,1.09861228867,4.40314136126,0.0104784022268,0.0650787218395,1.50339127556
11,Albert Connell,2000.0,26.0,4-115,WAS,179.0,24.3,16.0,0.0,0.0,0.0,0.0,0.0,102.0,39.0,762.0,19.54,3.0,47.6,0.382,7.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,2.0,204.0,29.0,0.744,77.0,7.0,5.0,641.0,-0.127,0.0,wr,,,0.0,,,,,,18.0,3648.0,561.0,343.0,281.0,25.0,1999.0,72.0,0.75,2.0,30.0,0.181818181818,0.113702623907,0.208881578947,0.166666666667,1.0,1.79175946923,54.6141732283,0.165274651872,0.219640686209,18.0649499906
12,Aldrick Robinson,2012.0,24.0,6-178,WAS,184.0,26.4,15.0,1.0,14.0,14.0,0.0,0.9,19.0,11.0,237.0,21.55,3.0,15.8,0.579,12.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,67.0,9.0,0.818,68.0,4.0,2.0,273.0,0.514,0.99,wr,8.75,29.5,4.35,40.0,126.0,4.09,6.65,11.01,26.0,3521.0,471.0,304.0,450.0,24.0,2012.0,70.0,0.133333333333,1.0,32.0,0.0403397027601,0.0361842105263,0.0673104231752,0.115384615385,0.0,1.09861228867,18.94092827,0.0344038598078,0.152058936606,4.50479853702
13,Alex Bannister,2003.0,24.0,5-140,SEA,207.0,24.5,16.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,61.0,20.33,1.0,3.8,0.25,5.08,0.0,0.0,0.0,0.0,0.0,1.0,0.0,wr,0.0,16.0,3.0,1.0,31.0,1.0,2.0,45.0,-0.36,-0.22,wr,,,4.47,30.5,110.0,,,,27.0,3909.0,566.0,342.0,431.0,22.0,2001.0,77.0,0.125,0.0,0.0,0.0212014134276,0.00877192982456,0.0156050140701,0.037037037037,2.0,1.09861228867,4.19672131148,0.000850679489287,0.0162696804599,0.198955712148
14,Alshon Jeffery,2012.0,22.0,2-45,CHI,230.0,28.0,10.0,0.0,0.0,0.0,0.0,0.0,48.0,24.0,367.0,15.29,3.0,36.7,0.5,7.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,75.0,17.0,0.708,55.0,4.0,1.0,408.0,0.068,0.72,wr,10.25,33.0,4.48,,,,,,21.0,2999.0,485.0,287.0,375.0,22.0,2012.0,76.0,0.6,1.0,53.0,0.0989690721649,0.0836236933798,0.122374124708,0.142857142857,0.0,0.69314718056,15.3269754768,0.0789335477054,0.188263445321,9.21119888778
15,Alshon Jeffery,2015.0,25.0,2-45,CHI,230.0,28.0,9.0,0.0,0.0,0.0,0.0,0.0,94.0,54.0,807.0,14.94,4.0,89.7,0.574,8.59,1.0,1.0,0.0,0.0,0.0,0.0,0.0,wr,4.0,188.0,43.0,0.796,50.0,8.0,4.0,795.0,0.041,1.26,wr,10.25,33.0,4.48,,,,,,21.0,3663.0,523.0,334.0,335.0,22.0,2012.0,76.0,0.888888888889,1.0,18.0,0.179732313576,0.161676646707,0.220311220311,0.190476190476,3.0,1.60943791243,43.7967781908,0.321965714102,0.33469056946,34.5394053964
16,Alvis Whitted,2003.0,29.0,7-192,OAK,185.0,25.1,16.0,6.0,37.0,6.17,0.0,2.3,24.0,7.0,106.0,15.14,1.0,6.6,0.292,4.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,28.0,3.0,0.429,36.0,2.0,2.0,52.0,-0.478,-0.62,wr,,,0.0,,,,,,9.0,2751.0,521.0,278.0,270.0,25.0,1999.0,72.0,0.125,0.0,0.0,0.0460652591171,0.0251798561151,0.0385314431116,0.111111111111,4.0,1.09861228867,7.39622641509,0.00167025524239,0.0488090413796,0.508688813896
17,Alvis Whitted,2004.0,30.0,7-192,OAK,185.0,25.1,11.0,0.0,0.0,0.0,0.0,0.0,25.0,9.0,227.0,25.22,2.0,20.6,0.36,9.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,42.0,8.0,0.889,57.0,4.0,2.0,211.0,0.056,0.36,wr,,,0.0,,,,,,24.0,3858.0,582.0,330.0,320.0,25.0,1999.0,72.0,0.454545454545,2.0,40.0,0.0429553264605,0.0272727272727,0.0588387765682,0.0833333333333,5.0,1.09861228867,7.77092511013,0.0163516397646,0.0732135620694,2.14765891094
18,Alvis Whitted,2005.0,31.0,7-192,OAK,185.0,25.1,16.0,2.0,51.0,25.5,0.0,3.2,26.0,14.0,183.0,13.07,0.0,11.4,0.538,7.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,42.0,10.0,0.714,26.0,1.0,1.0,179.0,-0.064,0.12,wr,,,0.0,,,,,,21.0,3582.0,591.0,316.0,290.0,25.0,1999.0,72.0,0.0,0.0,0.0,0.0439932318105,0.0443037974684,0.0510887772194,0.0,6.0,0.69314718056,9.6393442623,0.0123984094766,0.0,1.23984094766
19,Alvis Whitted,2006.0,32.0,7-192,OAK,185.0,25.1,14.0,1.0,4.0,4.0,0.0,0.3,63.0,27.0,299.0,11.07,0.0,21.4,0.429,4.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,27.0,17.0,0.63,33.0,1.0,4.0,215.0,-0.376,-1.21,wr,,,0.0,,,,,,7.0,2420.0,483.0,263.0,168.0,25.0,1999.0,72.0,0.928571428571,1.0,7.0,0.130434782609,0.102661596958,0.123553719008,0.0,7.0,1.60943791243,2.4381270903,0.0300031301444,0.0,3.00031301444
