name,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,pca34,pca35,pca36,pca37,pca38,pca39,pca40,pca41,pca42,pca43,pca44,pca45,pca46,compilation_3,categories
A.J. Green,21.8245465604,0.409862513333,-2.33121065229,4.56605178165,2.00828221598,-4.34906000373,-8.92291711529,5.43439212025,-0.627938535987,-7.16921720297,-1.78379047616,2.00984654789,-0.756031191215,-0.0276599823648,-1.90302403632,0.106202591871,1.17207244218,2.51843313604,0.0788073361846,-1.30090023758,0.0128341815377,-0.170818579771,1.05896658931,0.261812622842,-1.31025097586,0.333572879083,1.09959395445,0.801847071999,1.77191433107,-2.20320952383,1.34011758982,0.148237340988,-0.688160174196,0.604599409829,-1.17071571713,0.248167683604,2.3319140709,0.494061809709,0.560143750131,1.165116093,-0.17864612682,0.0865678138144,-0.0858334704449,1.26292358627,1.18697066053,-0.0432724584277,59.7417625193,quality starter
A.J. Jenkins,-3.75173682973,3.91607705588,2.15262832057,1.33233032329,1.96248067577,-0.0592197347047,-2.38583627977,0.292210064826,-0.0979372873246,1.87815594834,0.398901646566,2.08921089125,-0.049509241464,0.827684160601,-2.35828478642,1.0153142114,-0.564556113773,-0.940569561828,-0.669316210738,0.394318394003,0.667930226571,0.0031346010352,0.221615822989,0.260103871114,0.381378234828,-0.0685099244334,0.935240018145,0.0445442728501,0.566073060329,-0.814834652939,0.185280160486,0.0645724166282,0.441351965936,-0.875008407736,-0.0842325620566,0.770553806874,0.338923289432,0.087774027021,-0.586360508169,-0.780899603948,-0.618769069365,-1.12358815788,-0.0588515545522,0.0838219626499,0.37108780879,-0.290268468604,0.0,below average
Aaron Brown,-4.33426235536,-0.0707756313766,1.1859380634,1.90521512989,-1.71781548791,0.412931848337,-1.68797532277,-0.392454451737,-1.1793638162,-0.619115224384,0.0398510346477,-1.04927992888,-0.292798657592,0.318198098573,0.595339720431,0.346067246538,0.294675466977,-0.588228560795,-0.0940179486246,-0.269784111519,0.620802447081,-0.115921912811,0.651157906906,-0.118891399954,0.313792225232,-0.463019460298,1.16539554773,-0.10432097887,0.806167207661,-0.42299504214,0.24273672106,-0.541660806018,0.199159059781,-0.737444098724,-0.221215341489,0.160659540045,0.196258062118,0.305524355915,0.392017321309,-0.133760588162,0.347114557446,0.527379670235,0.163092919212,0.245882225178,0.192269994058,-1.01837728149,0.0,below average
Aaron Halterman,-5.57413784287,-1.40088355355,-3.35545701236,3.06931285004,1.23928728275,-0.970882357199,0.390624595605,-0.567018679282,0.661488842621,-0.317456610986,0.673378597376,-0.199327174251,-0.296284066016,0.196769887951,0.136783135133,-0.432945480431,-0.321722397926,-0.155856994488,0.233046992852,0.0492865375657,0.234831852883,-0.404412874761,0.43327732515,0.0494666009189,0.182610542619,-0.334574525796,0.928393696552,-0.00782333573172,0.903867095945,-0.580046964724,0.32857248922,-0.416233554896,-0.0620525310452,-0.0765179162086,0.271135050112,-0.188102693886,0.0207855123669,0.362064244802,-0.195932451212,-0.386854101849,0.501639661612,-0.150866330449,0.18181231563,0.0671480250226,-0.26476419447,0.00407046506957,0.0,below average
Aaron Moorehead,-2.14900907718,1.18818146671,-0.0941361715741,-0.782606304385,0.0784495769261,1.91147893126,1.81070354557,0.19436644207,-0.620147669798,-2.74911739711,0.891655770675,0.673165814884,-1.11242522165,0.110728717426,-0.443008824672,-0.534050621474,-0.241795921237,-0.384664158639,-0.437250157813,-0.579533266723,0.0367598589701,-0.141041742191,0.293509264413,-0.453710787102,0.565603363578,-0.496993644457,1.22530103592,-1.06608108241,-0.0793442544043,-0.807861640246,0.650259391138,-0.17243828827,0.3448195263,-0.156507733271,0.266904522482,0.280462493305,0.192178904521,-0.156054780833,0.440157239486,-0.293098606465,-0.22494151302,-0.428870026034,-0.0659222329716,0.103997106932,0.527104441522,0.873163768375,0.274562470244,below average
Aaron Walker,-4.67477982833,-3.12887252304,-2.9719487494,3.01221858466,1.01593205832,-0.320435135082,0.782874431344,-1.59472456358,0.568440611545,-1.89556923549,1.11908973904,-0.951582242938,-0.603902261779,0.223590196566,0.137621313671,-0.839067265643,-0.103285094935,0.0281665947894,0.577452429398,0.0676911438029,0.156163984454,-0.391932067178,0.376101626961,-0.0818505399166,0.157655989497,-0.467686238131,1.055807452,-0.0306564616005,0.837416511355,-0.614484384974,0.270739748003,-0.534490913732,0.12991704419,-0.46094320402,0.216196715765,-0.0084509925665,0.109963488808,0.0330517012628,0.320102622566,-0.324052819587,0.15164292495,-0.399260907216,0.0906051743439,0.29700736712,0.594770960301,-0.0541706897114,0.0,below average
Adam Jennings,-4.41666483852,-0.0335505164397,1.47953229119,-0.525342081614,-1.22062282193,0.511293164583,-1.97361659413,-1.14162413543,-0.32392612024,-1.53441613481,-0.87327894186,-2.20277574441,1.49973453499,0.142434058352,1.08716862679,0.720110296555,-0.852877671283,-0.038426476119,-0.376038194212,-0.144933392151,0.0636930926767,-0.411422188809,0.449318429112,-0.201994802326,-0.111133429942,-0.55403499385,1.27060018018,-0.476214608784,0.499481049517,-0.843526127742,-0.0493088772336,-0.202379161344,0.149737629001,0.0832183280896,0.55754230469,-0.154634519072,0.390422358137,-0.352412530606,0.574702335997,-0.217177325218,0.00487563248519,0.381846647797,0.450962503018,0.508395579745,0.440713924527,-0.245055961953,0.0,below average
Adrian Arrington,-3.28550409299,1.26251587244,2.27846185449,0.606003424122,1.43422881169,1.80495782362,-2.00843739057,-1.6673527748,-0.54200930855,-2.59054171646,1.3880563976,-0.0089033247099,-0.941634809372,0.774459253049,-2.14838042943,0.539903641292,-1.30418048943,-0.580131247239,-0.943632519915,1.15254081893,0.538172378641,-0.589357871626,0.310659159231,-0.0392358094018,0.3263311529,-0.118828332992,1.19318776421,-0.600455826646,0.534766353488,-0.324957752193,0.343537099191,-0.3256001343,0.051934690476,-0.0264019948617,0.490047120774,-0.807053958104,0.433860472541,-0.246158368245,-0.123425223984,0.562409402126,-0.453248280504,-1.06175973194,-1.49246418634,-0.752373321832,0.0753178816479,0.89431166936,0.0,below average
Adrian Madise,-5.10727405466,-0.118961564201,-0.657448908035,0.256157315367,-0.761861412565,-0.992413023643,0.780912603575,1.34017191202,-0.0452119047777,0.486865603536,-1.70012443354,-0.942944098838,1.27649063914,-0.229982516471,0.800987259841,0.7853809917,-0.192266229426,-0.67587372961,-0.048423968288,-0.593755794399,0.243016359095,-0.290662122505,1.1072121623,-0.606317557566,0.734385142922,-0.217513837326,0.774543277567,-0.0346291319544,0.570844953924,-1.13111395503,-0.228653250424,-0.27223213468,0.553702090634,-0.572199697816,-0.354950480799,-0.818898294953,-0.29015284296,0.660477010642,0.794312705679,0.298717674771,0.4994200267,0.533492736295,-0.380520879084,0.46515492201,0.216913537074,-0.268598038878,0.0,below average
Ahmad Merritt,-1.26752123376,1.50747004975,0.86205423849,-2.97210983104,-0.0531740245037,-0.616550963687,2.08652779118,-0.221612409778,-0.150413632239,0.188394521782,-0.776115068805,1.59882474167,1.36524983257,-0.44232941376,1.61237738971,-0.320074142312,-1.45369581267,-0.154287085001,0.247745692589,-0.0778692432866,0.141059706009,-0.067601810254,-0.387913747417,1.64906263275,-0.507338752334,0.130382812147,1.97987900811,0.0121718346414,0.934175788387,-0.297508569759,1.36223594068,-1.02773537976,0.68930411476,-0.963389620131,-0.685464330393,0.205213127218,0.30763902956,0.630776164164,0.183230731719,0.196748814705,0.0341785269938,-0.0455343868962,0.586750607271,-0.863205443037,-0.3844088116,0.543597102696,0.0,below average
