,name,season,age,draft_pos,team,weight,bmi,games,rush_atts,rush_yds,rush_y/a,rush_tds,rush_ypg,targets,receptions,rec_yards,yards/reception,rec_tds,rec_ypg,ctch_pct,y/tgt,fumbles,fumbles_recovered,fum_ret_yds,fum_tds,forced_fumbles,pro_bowls,all_pros,position,100yd_gms,yac,first_down_ctchs,first_down_ctchpct,long_ctch,recs_ovr_25,drops,EYds,DVOA,DYAR,position.1,Hand Size in,Arm Length in,40 Yard,Vert Leap in,Broad Jump in,Shuttle,3Cone,60Yd Shuttle,team_pass_tds,team_pass_yds,team_pass_attempts,team_completions,total_points,rookie_age,rookie_season,height_inches,start_ratio,dpis_drawn,dpi_yards,pct_team_tgts,pct_team_receptions,pct_of_team_passyards,pct_team_touchdowns,years_in_league
1690,Calvin Johnson,2014.0,29.0,1-2,DET,239.0,28.3,13.0,0.0,0.0,0.0,0.0,0.0,128.0,71.0,1077.0,15.17,8.0,82.8,0.555,8.41,0.0,0.0,0.0,0.0,0.0,1.0,0.0,wr,5.0,251.0,59.0,0.831,67.0,7.0,3.0,1.52087296157,0.102,2.31,wr,,,4.35,,,,,,23.0,4337.0,646.0,393.0,341.0,22.0,2007.0,77.0,1.0,3.0,30.0,0.198142414861,0.180661577608,0.248328337561,0.347826086957,7.0
1691,Golden Tate,2014.0,26.0,2-60,DET,195.0,27.2,16.0,5.0,30.0,6.0,0.0,1.9,144.0,99.0,1331.0,13.44,4.0,83.2,0.688,9.24,1.0,0.0,0.0,0.0,0.0,1.0,0.0,wr,5.0,720.0,58.0,0.586,73.0,12.0,2.0,2.05145192861,0.067,2.14,wr,9.25,30.5,4.42,35.0,120.0,4.34,7.12,,23.0,4337.0,646.0,393.0,341.0,22.0,2010.0,71.0,1.0,1.0,31.0,0.222910216718,0.251908396947,0.306894166475,0.173913043478,4.0
1692,Calvin Johnson,2015.0,30.0,1-2,DET,239.0,28.3,16.0,0.0,0.0,0.0,0.0,0.0,149.0,88.0,1214.0,13.8,9.0,75.9,0.591,8.15,1.0,0.0,0.0,0.0,0.0,1.0,0.0,wr,2.0,274.0,65.0,0.739,57.0,12.0,4.0,1.8078868125,0.14,3.19,wr,,,4.35,,,,,,33.0,4212.0,632.0,420.0,358.0,22.0,2007.0,77.0,1.0,3.0,54.0,0.235759493671,0.209523809524,0.288224121557,0.272727272727,8.0
1693,Golden Tate,2015.0,27.0,2-60,DET,195.0,27.2,16.0,6.0,41.0,6.83,0.0,2.6,128.0,90.0,813.0,9.03,6.0,50.8,0.703,6.35,1.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,0.0,547.0,50.0,0.556,43.0,3.0,3.0,0.990713546449,-0.017,1.13,wr,9.25,30.5,4.42,35.0,120.0,4.34,7.12,,33.0,4212.0,632.0,420.0,358.0,22.0,2010.0,71.0,1.0,3.0,35.0,0.20253164557,0.214285714286,0.19301994302,0.181818181818,5.0
1694,Bill Schroeder,1999.0,28.0,6-181,GB,200.0,25.0,16.0,0.0,0.0,0.0,0.0,0.0,117.0,74.0,1051.0,14.2,5.0,65.7,0.632,8.98,3.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,1.0,284.0,52.0,0.703,51.0,10.0,8.0,1.48014667281,0.096,2.11,wr,,,0,,,,,,23.0,3900.0,605.0,344.0,357.0,28.0,1999.0,75.0,1.0,4.0,66.0,0.193388429752,0.21511627907,0.269487179487,0.217391304348,0.0
1695,Antonio Freeman,2000.0,28.0,3-90,GB,198.0,26.1,15.0,2.0,5.0,2.5,0.0,0.3,120.0,62.0,912.0,14.71,9.0,60.8,0.517,7.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,2.0,244.0,47.0,0.758,67.0,7.0,3.0,1.17768707457,0.036,1.55,wr,,,0,,,,,,21.0,3678.0,600.0,348.0,353.0,28.0,2000.0,73.0,1.0,2.0,39.0,0.2,0.17816091954,0.247960848287,0.428571428571,0.0
1696,Bill Schroeder,2000.0,29.0,6-181,GB,200.0,25.0,16.0,2.0,11.0,5.5,0.0,0.7,119.0,65.0,999.0,15.37,4.0,62.4,0.546,8.39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,3.0,288.0,51.0,0.785,55.0,7.0,4.0,1.37500423891,0.122,2.36,wr,,,0,,,,,,21.0,3678.0,600.0,348.0,353.0,28.0,1999.0,75.0,1.0,5.0,113.0,0.198333333333,0.186781609195,0.271615008157,0.190476190476,1.0
1697,Bill Schroeder,2001.0,30.0,6-181,GB,200.0,25.0,14.0,1.0,6.0,6.0,0.0,0.4,93.0,53.0,918.0,17.32,9.0,65.6,0.57,9.87,1.0,0.0,0.0,0.0,0.0,0.0,0.0,wr,5.0,310.0,42.0,0.792,67.0,10.0,5.0,1.20742224572,0.243,2.79,wr,,,0,,,,,,36.0,4297.0,583.0,362.0,432.0,28.0,1999.0,75.0,1.0,4.0,81.0,0.159519725557,0.146408839779,0.213637421457,0.25,2.0
1698,Donald Driver,2002.0,27.0,7-213,GB,188.0,25.5,16.0,8.0,70.0,8.75,0.0,4.4,113.0,70.0,1064.0,15.2,9.0,66.5,0.619,9.42,1.0,2.0,0.0,0.0,0.0,1.0,0.0,wr,3.0,342.0,47.0,0.671,85.0,10.0,8.0,1.52095949343,0.219,3.16,wr,,,0,,,,,,30.0,3860.0,622.0,381.0,405.0,24.0,1999.0,72.0,1.0,4.0,137.0,0.181672025723,0.183727034121,0.275647668394,0.3,3.0
1699,Javon Walker,2004.0,26.0,1-20,GB,220.0,27.5,16.0,0.0,0.0,0.0,0.0,0.0,144.0,89.0,1382.0,15.53,12.0,86.4,0.618,9.6,2.0,1.0,11.0,0.0,0.0,1.0,0.0,wr,5.0,348.0,63.0,0.708,79.0,14.0,3.0,2.14579477876,0.162,3.27,wr,,,4.38,39.5,126.0,4.05,6.86,,37.0,4650.0,631.0,404.0,441.0,24.0,2002.0,75.0,0.75,0.0,0.0,0.228209191759,0.220297029703,0.297204301075,0.324324324324,2.0
